"","X1","variable"
"(Intercept)",2.92877921182705,"(Intercept)"
"CancerType.ACC",18.922587365221,"CancerType.ACC"
"CancerType.BLCA",-4.85966445018708,"CancerType.BLCA"
"CancerType.BRCA",-2.17694234765343,"CancerType.BRCA"
"CancerType.CESC",-6.41167700325669,"CancerType.CESC"
"CancerType.CHOL",-4.39159401508507,"CancerType.CHOL"
"CancerType.COAD",-5.50192652182176,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.65862218093047,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.039196732416,"CancerType.GBM"
"CancerType.KIRC",3.06416187881935,"CancerType.KIRC"
"CancerType.KIRP",6.36935351427956,"CancerType.KIRP"
"CancerType.LGG",5.08507418801287,"CancerType.LGG"
"CancerType.LIHC",3.5079378580212,"CancerType.LIHC"
"CancerType.LUSC",-0.479884731311119,"CancerType.LUSC"
"CancerType.OV",3.70844850051062,"CancerType.OV"
"CancerType.PRAD",0.117239945671931,"CancerType.PRAD"
"CancerType.READ",-6.42970743896616,"CancerType.READ"
"CancerType.SARC",4.1759307742606,"CancerType.SARC"
"CancerType.SKCM",-0.243957647631647,"CancerType.SKCM"
"CancerType.STAD",-1.93436969593379,"CancerType.STAD"
"CancerType.UCEC",0.119008863374923,"CancerType.UCEC"
"CancerType.UCS",-6.94329383752644,"CancerType.UCS"
"log_Mutation_rate",-0.719600149878296,"log_Mutation_rate"
"SBS1",-0.475030786940159,"SBS1"
"SBS2",2.94078029234567,"SBS2"
"SBS3",0.00151632133463683,"SBS3"
"SBS4",0.233702617625886,"SBS4"
"SBS6",-4.11372909594385,"SBS6"
"SBS8",-16.7224132453701,"SBS8"
"SBS10a",-4.88917276482517,"SBS10a"
"SBS14",-9.01370379971342,"SBS14"
"SBS15",-4.59247017021708,"SBS15"
"SBS20",-8.82388358242876,"SBS20"
"SBS40",0.255563764950807,"SBS40"
"SBS44",-4.88588591717219,"SBS44"
"TP53_SNV",-1.16386283069974,"TP53_SNV"
"PTEN_SNV",-0.568343489483049,"PTEN_SNV"
"SLITRK6_SNV",-0.349671499363197,"SLITRK6_SNV"
"ZIC4_SNV",-0.652385330367101,"ZIC4_SNV"
"PYHIN1_SNV",-0.0112287510610642,"PYHIN1_SNV"
"KIR3DL2_SNV",0.527383453444667,"KIR3DL2_SNV"
"CASP8_SNV",-0.0367263236459381,"CASP8_SNV"
"GTF2I_SNV",-0.401018658414736,"GTF2I_SNV"
"FGFR2_SNV",0.375874628960394,"FGFR2_SNV"
"PPP2R1A_SNV",0.283052788921473,"PPP2R1A_SNV"
"SPEN_CNV.Deletion",-0.624992761082806,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.344612748789511,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.0519162075151817,"ARHGEF10L_CNV.Amplification"
"SFPQ_CNV.Amplification",0.148383089732672,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.42432655162329,"SFPQ_CNV.Deletion"
"MUTYH_CNV.Amplification",-0.233534939201488,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.179842660039164,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Amplification",-0.0354727694352926,"FUBP1_CNV.Amplification"
"FUBP1_CNV.Deletion",0.0587200839982892,"FUBP1_CNV.Deletion"
"RBM15_CNV.Amplification",-0.00361746056477044,"RBM15_CNV.Amplification"
