"","X1","variable"
"(Intercept)",3.35398283348067,"(Intercept)"
"CancerType.ACC",18.4943133904544,"CancerType.ACC"
"CancerType.BLCA",-4.87599410706845,"CancerType.BLCA"
"CancerType.BRCA",-2.18804560703192,"CancerType.BRCA"
"CancerType.CESC",-6.24161323959958,"CancerType.CESC"
"CancerType.CHOL",-4.42408358797865,"CancerType.CHOL"
"CancerType.COAD",-5.54682596854271,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.71224984023414,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.7999172316344,"CancerType.GBM"
"CancerType.KIRC",2.51106499900563,"CancerType.KIRC"
"CancerType.KIRP",6.0935018824653,"CancerType.KIRP"
"CancerType.LGG",4.70583794843434,"CancerType.LGG"
"CancerType.LIHC",3.46662696178733,"CancerType.LIHC"
"CancerType.LUSC",-0.673323241035642,"CancerType.LUSC"
"CancerType.OV",3.5558978535559,"CancerType.OV"
"CancerType.READ",-6.80922424272181,"CancerType.READ"
"CancerType.SARC",3.75955713236047,"CancerType.SARC"
"CancerType.SKCM",-0.556072791403476,"CancerType.SKCM"
"CancerType.STAD",-1.99299013954081,"CancerType.STAD"
"CancerType.UCEC",0.054535928154525,"CancerType.UCEC"
"CancerType.UCS",-6.59348204942827,"CancerType.UCS"
"log_Mutation_rate",-0.771451358777125,"log_Mutation_rate"
"SBS1",-0.860167596092744,"SBS1"
"SBS2",1.94436733628656,"SBS2"
"SBS3",0.72625346293969,"SBS3"
"SBS4",0.555900132730176,"SBS4"
"SBS6",-4.9066342600097,"SBS6"
"SBS8",-17.0210080226441,"SBS8"
"SBS10a",-3.22267906679063,"SBS10a"
"SBS13",0.194170327006679,"SBS13"
"SBS14",-8.09898633478404,"SBS14"
"SBS15",-2.34503915539931,"SBS15"
"SBS20",-13.5770040860548,"SBS20"
"SBS40",0.670091896387854,"SBS40"
"SBS44",-4.89953839701665,"SBS44"
"TP53_SNV",-1.15121304053673,"TP53_SNV"
"PTEN_SNV",-0.650197049407118,"PTEN_SNV"
"SLITRK6_SNV",-0.500788094130071,"SLITRK6_SNV"
"ZIC4_SNV",-0.334756575595677,"ZIC4_SNV"
"KIR3DL2_SNV",0.099331984989457,"KIR3DL2_SNV"
"CASP8_SNV",0.00156579218844561,"CASP8_SNV"
"DEFB119_SNV",0.455156369393607,"DEFB119_SNV"
"FGFR2_SNV",0.115688562510849,"FGFR2_SNV"
