"","X1","variable"
"(Intercept)",2.88259344626359,"(Intercept)"
"CancerType.ACC",19.1071674852163,"CancerType.ACC"
"CancerType.BLCA",-4.68364796840011,"CancerType.BLCA"
"CancerType.BRCA",-2.0565581123365,"CancerType.BRCA"
"CancerType.CESC",-6.29824175434911,"CancerType.CESC"
"CancerType.CHOL",-4.48334056784548,"CancerType.CHOL"
"CancerType.COAD",-5.5412968081851,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.83439160009836,"CancerType.ESCA_adernocarcinoma"
"CancerType.ESCA_squamous_cell_carcinoma",0.181438899671183,"CancerType.ESCA_squamous_cell_carcinoma"
"CancerType.GBM",11.7848434467766,"CancerType.GBM"
"CancerType.KIRC",2.78271325868336,"CancerType.KIRC"
"CancerType.KIRP",6.21118306434083,"CancerType.KIRP"
"CancerType.LGG",4.81955061176945,"CancerType.LGG"
"CancerType.LIHC",3.4830056793076,"CancerType.LIHC"
"CancerType.LUSC",-0.49884869858446,"CancerType.LUSC"
"CancerType.OV",3.64240383686091,"CancerType.OV"
"CancerType.READ",-6.91243321347008,"CancerType.READ"
"CancerType.SARC",3.90164971765991,"CancerType.SARC"
"CancerType.SKCM",-0.413446402400573,"CancerType.SKCM"
"CancerType.STAD",-1.69961758319302,"CancerType.STAD"
"CancerType.UCEC",0.206848151341234,"CancerType.UCEC"
"CancerType.UCS",-6.73505616903745,"CancerType.UCS"
"log_Mutation_rate",-0.693154379235757,"log_Mutation_rate"
"SBS1",-0.389275674861841,"SBS1"
"SBS2",1.86561270226183,"SBS2"
"SBS3",0.606825779202795,"SBS3"
"SBS4",0.482533265135036,"SBS4"
"SBS5",0.143634007776699,"SBS5"
"SBS6",-2.94472390200869,"SBS6"
"SBS8",-12.6175180602894,"SBS8"
"SBS10a",-6.33579535273351,"SBS10a"
"SBS14",-8.19644709839757,"SBS14"
"SBS15",-6.46617570076732,"SBS15"
"SBS20",-15.3215020907358,"SBS20"
"SBS40",0.482800634320412,"SBS40"
"SBS44",-5.09714268328302,"SBS44"
"TP53_SNV",-1.17288759813534,"TP53_SNV"
"PTEN_SNV",-0.693247556781267,"PTEN_SNV"
"SLITRK6_SNV",-0.35687678359312,"SLITRK6_SNV"
"ZIC4_SNV",-0.738650902106728,"ZIC4_SNV"
"PYHIN1_SNV",-0.184981554310376,"PYHIN1_SNV"
"KIR3DL2_SNV",0.352486573145703,"KIR3DL2_SNV"
"DEFB119_SNV",0.087399971866985,"DEFB119_SNV"
"GTF2I_SNV",-0.316466142982642,"GTF2I_SNV"
"FGFR2_SNV",0.12094915934614,"FGFR2_SNV"
