"","X1","variable"
"(Intercept)",2.79706417685084,"(Intercept)"
"CancerType.ACC",18.6866722321922,"CancerType.ACC"
"CancerType.BLCA",-4.62626444356285,"CancerType.BLCA"
"CancerType.BRCA",-1.95514045216721,"CancerType.BRCA"
"CancerType.CESC",-6.16360537071568,"CancerType.CESC"
"CancerType.CHOL",-3.91458353255858,"CancerType.CHOL"
"CancerType.COAD",-5.29769539933441,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.71736413844152,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.0330807535215,"CancerType.GBM"
"CancerType.KIRC",3.01046245954163,"CancerType.KIRC"
"CancerType.KIRP",6.3876367592758,"CancerType.KIRP"
"CancerType.LGG",4.80670118165159,"CancerType.LGG"
"CancerType.LIHC",3.60100318611381,"CancerType.LIHC"
"CancerType.LUSC",-0.510858301842002,"CancerType.LUSC"
"CancerType.OV",3.74213400425275,"CancerType.OV"
"CancerType.PRAD",0.223008296883306,"CancerType.PRAD"
"CancerType.READ",-6.46818428633192,"CancerType.READ"
"CancerType.SARC",4.05100944376466,"CancerType.SARC"
"CancerType.SKCM",-0.220118944410774,"CancerType.SKCM"
"CancerType.STAD",-1.68571682966547,"CancerType.STAD"
"CancerType.UCS",-6.85826940006492,"CancerType.UCS"
"log_Mutation_rate",-0.756091599968268,"log_Mutation_rate"
"SBS1",-0.657125990361827,"SBS1"
"SBS2",1.72938551864639,"SBS2"
"SBS4",0.841817900882663,"SBS4"
"SBS6",-3.95983400479496,"SBS6"
"SBS8",-11.9076223004465,"SBS8"
"SBS10a",-3.46703343909626,"SBS10a"
"SBS13",0.399848312280091,"SBS13"
"SBS14",-9.8904257736915,"SBS14"
"SBS15",-4.04637879596873,"SBS15"
"SBS20",-16.9274904135395,"SBS20"
"SBS40",0.915131278775781,"SBS40"
"SBS44",-2.91963348655709,"SBS44"
"TP53_SNV",-1.07470354169739,"TP53_SNV"
"PTEN_SNV",-0.483610611366202,"PTEN_SNV"
"CDKN2A_SNV",-0.0647168224700957,"CDKN2A_SNV"
"SLITRK6_SNV",-0.3395691991566,"SLITRK6_SNV"
"ZIC4_SNV",-0.418374620805617,"ZIC4_SNV"
"KIR3DL2_SNV",0.34922029230052,"KIR3DL2_SNV"
"DEFB119_SNV",0.335947008205322,"DEFB119_SNV"
"GTF2I_SNV",-0.767538639036061,"GTF2I_SNV"
"FGFR2_SNV",0.0561907781867296,"FGFR2_SNV"
"PPP2R1A_SNV",0.25042819235736,"PPP2R1A_SNV"
"RPL22_CNV.Amplification",-0.0703560123145334,"RPL22_CNV.Amplification"
"SPEN_CNV.Deletion",-0.465790678786522,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.724163033063119,"SDHB_CNV.Amplification"
"PAX7_CNV.Deletion",-0.20437599344397,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.0512957277219747,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.456976005515198,"SFPQ_CNV.Deletion"
"MUTYH_CNV.Amplification",-0.212724888323864,"MUTYH_CNV.Amplification"
"FUBP1_CNV.Amplification",-0.173438956532645,"FUBP1_CNV.Amplification"
"FUBP1_CNV.Deletion",0.163753668110558,"FUBP1_CNV.Deletion"
"RBM15_CNV.Amplification",-0.239380246313996,"RBM15_CNV.Amplification"
"RBM15_CNV.Deletion",0.0927625509219996,"RBM15_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.174344744844553,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.0441421329437227,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.451003583596564,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.557960626297281,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-0.20364635518749,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.0289995776282613,"ARNT_CNV.Amplification"
"MLLT11_CNV.Deletion",0.383574211371046,"MLLT11_CNV.Deletion"
"TPM3_CNV.Deletion",-0.261478341237027,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.150684196699949,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.639231049399333,"LMNA_CNV.Amplification"
"NTRK1_CNV.Deletion",0.962438766564969,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Amplification",-0.0017423866146568,"FCRL4_CNV.Amplification"
"FCRL4_CNV.Deletion",-0.484424038778245,"FCRL4_CNV.Deletion"
"PBX1_CNV.Deletion",0.339154108950371,"PBX1_CNV.Deletion"
"PRRX1_CNV.Amplification",0.273403878251227,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.418698155490397,"PRRX1_CNV.Deletion"
"ABL2_CNV.Amplification",-0.0252983335323185,"ABL2_CNV.Amplification"
"AKT3_CNV.Deletion",0.000903399388965319,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.264461756242052,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.734046424091853,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.384085279232933,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.485610233704169,"LRP1B_CNV.Deletion"
"TGFBR2_CNV.Deletion",0.00208754124626378,"TGFBR2_CNV.Deletion"
"MYD88_CNV.Amplification",0.216002158530566,"MYD88_CNV.Amplification"
"MYD88_CNV.Deletion",0.390210928896671,"MYD88_CNV.Deletion"
"PBRM1_CNV.Amplification",0.0979504291626082,"PBRM1_CNV.Amplification"
"FHIT_CNV.Deletion",-0.452135260377336,"FHIT_CNV.Deletion"
"TFG_CNV.Deletion",0.0138973790728086,"TFG_CNV.Deletion"
"CBLB_CNV.Amplification",-0.2337836606495,"CBLB_CNV.Amplification"
"GATA2_CNV.Deletion",0.126079102581521,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.691864558779497,"STAG1_CNV.Deletion"
"PIK3CB_CNV.Deletion",0.275937299939637,"PIK3CB_CNV.Deletion"
"FOXL2_CNV.Deletion",0.127284439559222,"FOXL2_CNV.Deletion"
"GMPS_CNV.Amplification",-0.0963087106345459,"GMPS_CNV.Amplification"
"MECOM_CNV.Deletion",0.0203196697319544,"MECOM_CNV.Deletion"
"TBL1XR1_CNV.Deletion",-0.0590719527637878,"TBL1XR1_CNV.Deletion"
"PIK3CA_CNV.Amplification",-0.109015210146299,"PIK3CA_CNV.Amplification"
"PIK3CA_CNV.Deletion",0.24670574868461,"PIK3CA_CNV.Deletion"
"MAP3K13_CNV.Deletion",0.503280897667664,"MAP3K13_CNV.Deletion"
"LPP_CNV.Deletion",-0.56581563335786,"LPP_CNV.Deletion"
"TP63_CNV.Amplification",-0.460347133400491,"TP63_CNV.Amplification"
"TP63_CNV.Deletion",-0.35362539535036,"TP63_CNV.Deletion"
"MB21D2_CNV.Deletion",-0.0639432582324841,"MB21D2_CNV.Deletion"
"FGFR3_CNV.Amplification",-0.10581208762813,"FGFR3_CNV.Amplification"
"FGFR3_CNV.Deletion",0.104176942964772,"FGFR3_CNV.Deletion"
"TEC_CNV.Amplification",0.0288240045234019,"TEC_CNV.Amplification"
"TEC_CNV.Deletion",-0.00129998159392516,"TEC_CNV.Deletion"
"FIP1L1_CNV.Amplification",-0.285475299362704,"FIP1L1_CNV.Amplification"
