"","X1","variable"
"(Intercept)",2.97662935340592,"(Intercept)"
"CancerType.ACC",19.1620648028773,"CancerType.ACC"
"CancerType.BLCA",-4.87960383550961,"CancerType.BLCA"
"CancerType.BRCA",-2.03320683824732,"CancerType.BRCA"
"CancerType.CESC",-6.26299551578712,"CancerType.CESC"
"CancerType.CHOL",-3.61694672274229,"CancerType.CHOL"
"CancerType.COAD",-5.31508351938472,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.72043023783123,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.9044466971129,"CancerType.GBM"
"CancerType.KIRC",3.01600513664679,"CancerType.KIRC"
"CancerType.KIRP",6.47108163392501,"CancerType.KIRP"
"CancerType.LGG",5.21017519112673,"CancerType.LGG"
"CancerType.LIHC",3.78187350446588,"CancerType.LIHC"
"CancerType.LUSC",-0.539867120311973,"CancerType.LUSC"
"CancerType.OV",3.7914242678269,"CancerType.OV"
"CancerType.PAAD",0.0271589907569678,"CancerType.PAAD"
"CancerType.READ",-6.49652790852989,"CancerType.READ"
"CancerType.SARC",4.05162059025905,"CancerType.SARC"
"CancerType.SKCM",-0.2623529992811,"CancerType.SKCM"
"CancerType.STAD",-1.4084002577213,"CancerType.STAD"
"CancerType.UCEC",0.240307459407094,"CancerType.UCEC"
"CancerType.UCS",-7.01730781705897,"CancerType.UCS"
"log_Mutation_rate",-0.755158249529239,"log_Mutation_rate"
"SBS1",-0.972560873378176,"SBS1"
"SBS2",2.00117914223259,"SBS2"
"SBS4",0.657067279237356,"SBS4"
"SBS5",-0.185042386405711,"SBS5"
"SBS6",-4.6383170782179,"SBS6"
"SBS8",-17.8474483653611,"SBS8"
"SBS10a",-4.18532239065525,"SBS10a"
"SBS13",0.551566761876905,"SBS13"
"SBS14",-9.2073879550249,"SBS14"
"SBS15",-6.14657589294532,"SBS15"
"SBS20",-12.8444646502958,"SBS20"
"SBS40",0.383077725344903,"SBS40"
"SBS44",-3.50317815615945,"SBS44"
"TP53_SNV",-1.10943164998862,"TP53_SNV"
"PTEN_SNV",-0.491373133281905,"PTEN_SNV"
"FAT3_SNV",0.0132173388511444,"FAT3_SNV"
"CDKN2A_SNV",0.0247583951612666,"CDKN2A_SNV"
"SLITRK6_SNV",-0.249355096092395,"SLITRK6_SNV"
"ZIC4_SNV",-0.532327913836569,"ZIC4_SNV"
"PYHIN1_SNV",-0.110784125375686,"PYHIN1_SNV"
"KIR3DL2_SNV",0.435030100603172,"KIR3DL2_SNV"
"DEFB119_SNV",0.324644056925547,"DEFB119_SNV"
"GTF2I_SNV",-0.177721860755406,"GTF2I_SNV"
"PPP2R1A_SNV",0.177991883861383,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.0842844877194757,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.377290326884646,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.893837727967619,"SDHB_CNV.Amplification"
"SDHB_CNV.Deletion",-0.00467929991754157,"SDHB_CNV.Deletion"
"PAX7_CNV.Deletion",-0.0630710741464056,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.00992749024745118,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.260258678701181,"SFPQ_CNV.Deletion"
"MYCL_CNV.Amplification",0.109566091036143,"MYCL_CNV.Amplification"
"MYCL_CNV.Deletion",0.000623143041383213,"MYCL_CNV.Deletion"
"MPL_CNV.Amplification",0.337885191248002,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.43958248827689,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.166217375629077,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Deletion",0.198852514080254,"FUBP1_CNV.Deletion"
"RBM15_CNV.Amplification",-0.0355478935764064,"RBM15_CNV.Amplification"
"ATP1A1_CNV.Amplification",0.0521034584466533,"ATP1A1_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.336537616693831,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.554229076495456,"TENT5C_CNV.Amplification"
"NOTCH2_CNV.Amplification",0.00287328064201097,"NOTCH2_CNV.Amplification"
"BCL9_CNV.Deletion",-0.51148540727657,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-4.37405020789463e-14,"PDE4DIP_CNV.Deletion"
"SETDB1_CNV.Deletion",0.161328691334351,"SETDB1_CNV.Deletion"
"TPM3_CNV.Deletion",-1.22626361117382,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.955925991378946,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.39711213945052,"LMNA_CNV.Amplification"
"PRCC_CNV.Amplification",0.00925882671320925,"PRCC_CNV.Amplification"
"NTRK1_CNV.Deletion",1.37659217659791,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Amplification",-0.183476994248835,"FCRL4_CNV.Amplification"
