"","X1","variable"
"(Intercept)",2.87736669059011,"(Intercept)"
"CancerType.ACC",19.0080643451562,"CancerType.ACC"
"CancerType.BLCA",-4.81775750656593,"CancerType.BLCA"
"CancerType.BRCA",-2.01521326692288,"CancerType.BRCA"
"CancerType.CESC",-6.08269786856886,"CancerType.CESC"
"CancerType.CHOL",-3.98861198933533,"CancerType.CHOL"
"CancerType.COAD",-5.15074084766439,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.71385439055418,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.8772887689735,"CancerType.GBM"
"CancerType.KIRC",3.07023119037032,"CancerType.KIRC"
"CancerType.KIRP",6.29737717976695,"CancerType.KIRP"
"CancerType.LGG",5.36321045463608,"CancerType.LGG"
"CancerType.LIHC",3.80692246424377,"CancerType.LIHC"
"CancerType.LUSC",-0.646925617848418,"CancerType.LUSC"
"CancerType.OV",3.66527583687246,"CancerType.OV"
"CancerType.PRAD",0.0582855632393598,"CancerType.PRAD"
"CancerType.READ",-6.46135297665328,"CancerType.READ"
"CancerType.SARC",4.04187497068603,"CancerType.SARC"
"CancerType.SKCM",-0.0221468305562731,"CancerType.SKCM"
"CancerType.STAD",-1.77063512191256,"CancerType.STAD"
"CancerType.UCEC",0.232957852838199,"CancerType.UCEC"
"CancerType.UCS",-6.57249534127341,"CancerType.UCS"
"log_Mutation_rate",-0.796523219465999,"log_Mutation_rate"
"SBS1",-0.944792238766412,"SBS1"
"SBS2",2.39227870068964,"SBS2"
"SBS3",0.140528761553056,"SBS3"
"SBS4",1.06119259198298,"SBS4"
"SBS5",0.532073427723046,"SBS5"
"SBS6",-4.15135712415516,"SBS6"
"SBS8",-14.3805482897746,"SBS8"
"SBS10a",-4.17177689258211,"SBS10a"
"SBS14",-8.66785638725048,"SBS14"
"SBS15",-4.76936339727087,"SBS15"
"SBS20",-11.5987773193388,"SBS20"
"SBS40",0.678075146435267,"SBS40"
"SBS44",-4.47924581635232,"SBS44"
"TP53_SNV",-0.995685713270759,"TP53_SNV"
"PTEN_SNV",-0.593468593620724,"PTEN_SNV"
"SLITRK6_SNV",-0.28474202149479,"SLITRK6_SNV"
"ZIC4_SNV",-0.374251812577995,"ZIC4_SNV"
"KIR3DL2_SNV",0.476403039267129,"KIR3DL2_SNV"
"GTF2I_SNV",-0.688516057191508,"GTF2I_SNV"
"FCRL1_SNV",-0.0171798585809903,"FCRL1_SNV"
"FGFR2_SNV",0.211523696174355,"FGFR2_SNV"
"PPP2R1A_SNV",0.188483411156897,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.0686179391211204,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.518950717164002,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.487957717529161,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.0262803786857546,"ARHGEF10L_CNV.Amplification"
"PAX7_CNV.Deletion",-0.155604684401235,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.280682210104051,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.575210975205295,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.137285957028194,"THRAP3_CNV.Deletion"
"CSF3R_CNV.Amplification",-0.0424829859296826,"CSF3R_CNV.Amplification"
"MPL_CNV.Amplification",0.141773192661525,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.163430393186757,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.031015279586435,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Deletion",0.0672092754889818,"FUBP1_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.190159861052273,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.276565369450138,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.023776176865904,"TENT5C_CNV.Amplification"
"NOTCH2_CNV.Deletion",-0.00196657725947676,"NOTCH2_CNV.Deletion"
"BCL9_CNV.Deletion",-1.0819079066106,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-1.02160040886016e-14,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.00328925592328401,"ARNT_CNV.Amplification"
"MLLT11_CNV.Amplification",-0.0511955104390882,"MLLT11_CNV.Amplification"
"TPM3_CNV.Deletion",-1.22192956085125,"TPM3_CNV.Deletion"
"MUC1_CNV.Amplification",0.0611119347893841,"MUC1_CNV.Amplification"
"MUC1_CNV.Deletion",0.227338869619116,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.64364069310188,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.628969512684501,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",0.342562301985268,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.030090911500531,"FCRL4_CNV.Deletion"
"FCGR2B_CNV.Deletion",0.462406631578237,"FCGR2B_CNV.Deletion"
"PRRX1_CNV.Amplification",0.263005544585751,"PRRX1_CNV.Amplification"
"ABL2_CNV.Amplification",-0.0056212114286896,"ABL2_CNV.Amplification"
"ABL2_CNV.Deletion",0.122713290353971,"ABL2_CNV.Deletion"
"AKT3_CNV.Amplification",0.0189067601367479,"AKT3_CNV.Amplification"
"PAX8_CNV.Amplification",-0.250352103300832,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.631782391798151,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.573331989267779,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.36160270614129,"LRP1B_CNV.Deletion"
"TGFBR2_CNV.Deletion",0.0129348749638149,"TGFBR2_CNV.Deletion"
"MYD88_CNV.Amplification",0.584844382663928,"MYD88_CNV.Amplification"
"MYD88_CNV.Deletion",0.261212165773693,"MYD88_CNV.Deletion"
"FHIT_CNV.Deletion",-0.335003220557691,"FHIT_CNV.Deletion"
"CBLB_CNV.Amplification",-0.346562339827771,"CBLB_CNV.Amplification"
"CBLB_CNV.Deletion",-0.256540975675707,"CBLB_CNV.Deletion"
"GATA2_CNV.Deletion",0.117558636190805,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.430347376831939,"STAG1_CNV.Deletion"
"FOXL2_CNV.Deletion",0.273456283890776,"FOXL2_CNV.Deletion"
"WWTR1_CNV.Deletion",0.443623394302158,"WWTR1_CNV.Deletion"
"MLF1_CNV.Deletion",0.309969397532368,"MLF1_CNV.Deletion"
"PIK3CA_CNV.Amplification",-0.515178115695814,"PIK3CA_CNV.Amplification"
"MAP3K13_CNV.Deletion",0.00276956815578677,"MAP3K13_CNV.Deletion"
"IGF2BP2_CNV.Amplification",0.0276207914836253,"IGF2BP2_CNV.Amplification"
"ETV5_CNV.Amplification",0.0303294027306828,"ETV5_CNV.Amplification"
"BCL6_CNV.Deletion",0.332688469157771,"BCL6_CNV.Deletion"
"LPP_CNV.Deletion",-0.404821939161118,"LPP_CNV.Deletion"
"TP63_CNV.Amplification",-0.142604362443179,"TP63_CNV.Amplification"
"TP63_CNV.Deletion",-0.156887607168927,"TP63_CNV.Deletion"
"MB21D2_CNV.Deletion",-0.595800356466714,"MB21D2_CNV.Deletion"
"FGFR3_CNV.Amplification",-0.277060387929326,"FGFR3_CNV.Amplification"
"FGFR3_CNV.Deletion",0.221496597589125,"FGFR3_CNV.Deletion"
"TEC_CNV.Amplification",0.293703334510749,"TEC_CNV.Amplification"
"FIP1L1_CNV.Amplification",-0.551223521372732,"FIP1L1_CNV.Amplification"
"PDGFRA_CNV.Deletion",0.831339330448993,"PDGFRA_CNV.Deletion"
"AFF1_CNV.Amplification",-0.129351037763831,"AFF1_CNV.Amplification"
"SDHA_CNV.Amplification",-0.366274835227017,"SDHA_CNV.Amplification"
"CDH10_CNV.Deletion",0.713572647088762,"CDH10_CNV.Deletion"
"APC_CNV.Amplification",0.0181925889330794,"APC_CNV.Amplification"
"APC_CNV.Deletion",-0.270689520869117,"APC_CNV.Deletion"
"AFF4_CNV.Amplification",0.00551853560083223,"AFF4_CNV.Amplification"
"CSF1R_CNV.Amplification",0.564008234410545,"CSF1R_CNV.Amplification"
"CSF1R_CNV.Deletion",0.146543093260341,"CSF1R_CNV.Deletion"
"NSD1_CNV.Deletion",-0.196156408605528,"NSD1_CNV.Deletion"
"FLT4_CNV.Amplification",0.0456468767744684,"FLT4_CNV.Amplification"
"FOXO3_CNV.Amplification",0.0214452021359097,"FOXO3_CNV.Amplification"
"FOXO3_CNV.Deletion",-0.503793766315792,"FOXO3_CNV.Deletion"
"SGK1_CNV.Amplification",-0.356489675660918,"SGK1_CNV.Amplification"
"SGK1_CNV.Deletion",0.810883514967923,"SGK1_CNV.Deletion"
"LATS1_CNV.Amplification",0.48622887065522,"LATS1_CNV.Amplification"
"LATS1_CNV.Deletion",0.233389895682194,"LATS1_CNV.Deletion"
"ESR1_CNV.Amplification",0.254570370242496,"ESR1_CNV.Amplification"
"ARID1B_CNV.Amplification",0.283829369060609,"ARID1B_CNV.Amplification"
"ARID1B_CNV.Deletion",-0.346893935511547,"ARID1B_CNV.Deletion"
"EZR_CNV.Amplification",0.0333950655844952,"EZR_CNV.Amplification"
"QKI_CNV.Amplification",0.139499864432282,"QKI_CNV.Amplification"
"QKI_CNV.Deletion",-0.0683058991704471,"QKI_CNV.Deletion"
"AFDN_CNV.Amplification",-0.272792328680831,"AFDN_CNV.Amplification"
"SBDS_CNV.Amplification",-0.00239026890585397,"SBDS_CNV.Amplification"
"SBDS_CNV.Deletion",-0.057253574878363,"SBDS_CNV.Deletion"
"TRRAP_CNV.Deletion",0.0634474739480845,"TRRAP_CNV.Deletion"
"SND1_CNV.Amplification",-0.355321977380014,"SND1_CNV.Amplification"
"SND1_CNV.Deletion",0.203416297975287,"SND1_CNV.Deletion"
"SMO_CNV.Amplification",0.0580783881990857,"SMO_CNV.Amplification"
"NRG1_CNV.Amplification",-0.00703238837096795,"NRG1_CNV.Amplification"
"NRG1_CNV.Deletion",0.20796307159327,"NRG1_CNV.Deletion"
"NSD3_CNV.Amplification",-0.125953533070667,"NSD3_CNV.Amplification"
"FGFR1_CNV.Amplification",-0.304477593327255,"FGFR1_CNV.Amplification"
"FGFR1_CNV.Deletion",-0.0752330817926294,"FGFR1_CNV.Deletion"
"IKBKB_CNV.Deletion",-0.259498710629633,"IKBKB_CNV.Deletion"
"HOOK3_CNV.Amplification",0.0561125678619313,"HOOK3_CNV.Amplification"
"HOOK3_CNV.Deletion",-0.159076382483185,"HOOK3_CNV.Deletion"
"PLAG1_CNV.Amplification",-0.395749434637625,"PLAG1_CNV.Amplification"
"PLAG1_CNV.Deletion",-0.620087608966068,"PLAG1_CNV.Deletion"
"PREX2_CNV.Deletion",0.0563911832908888,"PREX2_CNV.Deletion"
"NCOA2_CNV.Deletion",0.421261230484796,"NCOA2_CNV.Deletion"
"HEY1_CNV.Deletion",0.068269102404035,"HEY1_CNV.Deletion"
"NBN_CNV.Amplification",0.189570206273785,"NBN_CNV.Amplification"
"COX6C_CNV.Deletion",-0.628880199787094,"COX6C_CNV.Deletion"
"PABPC1_CNV.Amplification",0.00789074001215362,"PABPC1_CNV.Amplification"
"UBR5_CNV.Amplification",-0.336998820894541,"UBR5_CNV.Amplification"
"UBR5_CNV.Deletion",0.341036888537999,"UBR5_CNV.Deletion"
"RSPO2_CNV.Amplification",-0.0901968116203932,"RSPO2_CNV.Amplification"
"EIF3E_CNV.Deletion",-0.240734141943555,"EIF3E_CNV.Deletion"
"CSMD3_CNV.Deletion",0.0590904542490739,"CSMD3_CNV.Deletion"
"RAD21_CNV.Amplification",0.769285811787776,"RAD21_CNV.Amplification"
"RAD21_CNV.Deletion",0.142454812684781,"RAD21_CNV.Deletion"
"EXT1_CNV.Amplification",0.0923715170896167,"EXT1_CNV.Amplification"
"MYC_CNV.Amplification",-1.26147455502861,"MYC_CNV.Amplification"
"MYC_CNV.Deletion",0.0573892012152749,"MYC_CNV.Deletion"
"NDRG1_CNV.Amplification",0.0448737028564931,"NDRG1_CNV.Amplification"
"FAM135B_CNV.Amplification",0.377714895539417,"FAM135B_CNV.Amplification"
"RECQL4_CNV.Deletion",-0.302723226810509,"RECQL4_CNV.Deletion"
"JAK2_CNV.Deletion",0.285291985637329,"JAK2_CNV.Deletion"
"NFIB_CNV.Amplification",-0.122508874500571,"NFIB_CNV.Amplification"
"NFIB_CNV.Deletion",-0.393304776536117,"NFIB_CNV.Deletion"
"CDKN2A_CNV.Amplification",-0.0682159159246394,"CDKN2A_CNV.Amplification"
"CDKN2A_CNV.Deletion",0.669437855875921,"CDKN2A_CNV.Deletion"
"FANCG_CNV.Amplification",-0.00757073873953194,"FANCG_CNV.Amplification"
"FANCG_CNV.Deletion",-0.226087487571147,"FANCG_CNV.Deletion"
"PAX5_CNV.Deletion",0.266060968125813,"PAX5_CNV.Deletion"
"SYK_CNV.Amplification",0.239742286804506,"SYK_CNV.Amplification"
"WNK2_CNV.Amplification",-0.0870801647996361,"WNK2_CNV.Amplification"
"FANCC_CNV.Amplification",-1.00807514311958,"FANCC_CNV.Amplification"
"FANCC_CNV.Deletion",0.31371141744157,"FANCC_CNV.Deletion"
"ABL1_CNV.Amplification",-0.292248361549229,"ABL1_CNV.Amplification"
"ABL1_CNV.Deletion",-0.294428818266505,"ABL1_CNV.Deletion"
"RALGDS_CNV.Amplification",-0.00264406317950407,"RALGDS_CNV.Amplification"
"RALGDS_CNV.Deletion",-0.525085132312143,"RALGDS_CNV.Deletion"
"NOTCH1_CNV.Deletion",0.176802560366272,"NOTCH1_CNV.Deletion"
"KLF6_CNV.Amplification",-0.454454229963941,"KLF6_CNV.Amplification"
"KLF6_CNV.Deletion",-0.601137867856893,"KLF6_CNV.Deletion"
"GATA3_CNV.Amplification",-0.0836146679102155,"GATA3_CNV.Amplification"
"GATA3_CNV.Deletion",0.858780833741101,"GATA3_CNV.Deletion"
"ZEB1_CNV.Amplification",0.419204597026909,"ZEB1_CNV.Amplification"
"ZEB1_CNV.Deletion",-0.172348537631848,"ZEB1_CNV.Deletion"
"KIF5B_CNV.Amplification",0.0849486561733579,"KIF5B_CNV.Amplification"
"PRF1_CNV.Amplification",-0.0732750032398864,"PRF1_CNV.Amplification"
"PRF1_CNV.Deletion",-0.229075986729401,"PRF1_CNV.Deletion"
"NUTM2B_CNV.Deletion",-0.253352943590108,"NUTM2B_CNV.Deletion"
"NUTM2D_CNV.Deletion",0.610956955783914,"NUTM2D_CNV.Deletion"
