"","X1","variable"
"(Intercept)",2.85138742070088,"(Intercept)"
"CancerType.ACC",18.4204156783072,"CancerType.ACC"
"CancerType.BLCA",-4.71811764011181,"CancerType.BLCA"
"CancerType.BRCA",-1.9507336064404,"CancerType.BRCA"
"CancerType.CESC",-6.31870374141748,"CancerType.CESC"
"CancerType.CHOL",-3.37034728240297,"CancerType.CHOL"
"CancerType.COAD",-5.21197498628475,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",2.13775922683353,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.0095563735173,"CancerType.GBM"
"CancerType.KIRC",2.84432711930247,"CancerType.KIRC"
"CancerType.KIRP",6.1493675916014,"CancerType.KIRP"
"CancerType.LGG",5.19536389500005,"CancerType.LGG"
"CancerType.LIHC",3.61627495811739,"CancerType.LIHC"
"CancerType.LUSC",-0.409490630606872,"CancerType.LUSC"
"CancerType.OV",3.81937895181773,"CancerType.OV"
"CancerType.READ",-6.31450005952323,"CancerType.READ"
"CancerType.SARC",4.17874183213237,"CancerType.SARC"
"CancerType.SKCM",-0.144676115161418,"CancerType.SKCM"
"CancerType.STAD",-1.71927988391026,"CancerType.STAD"
"CancerType.UCS",-6.88494196168251,"CancerType.UCS"
"log_Mutation_rate",-0.848391024395502,"log_Mutation_rate"
"SBS1",-0.836350954646175,"SBS1"
"SBS2",2.24850304240435,"SBS2"
"SBS4",1.14020323495802,"SBS4"
"SBS6",-5.81130689666945,"SBS6"
"SBS8",-14.3805824794553,"SBS8"
"SBS10a",-2.49566823898819,"SBS10a"
"SBS14",-5.02010875938043,"SBS14"
"SBS15",-4.72336256094796,"SBS15"
"SBS20",-2.1450719848214,"SBS20"
"SBS40",0.914323169524146,"SBS40"
"SBS44",-3.10412659895021,"SBS44"
"TP53_SNV",-1.18641157211827,"TP53_SNV"
"PTEN_SNV",-0.631939790886803,"PTEN_SNV"
"FAT3_SNV",0.0686013620746285,"FAT3_SNV"
"CDKN2A_SNV",0.0323861136867541,"CDKN2A_SNV"
"SLITRK6_SNV",-0.30580173071624,"SLITRK6_SNV"
"ZIC4_SNV",-0.559286974959181,"ZIC4_SNV"
"KIR3DL2_SNV",0.353755523718295,"KIR3DL2_SNV"
"GTF2I_SNV",-0.0628638149390043,"GTF2I_SNV"
"FGFR2_SNV",0.0835939032183289,"FGFR2_SNV"
"PPP2R1A_SNV",0.117731617891193,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.140115167336547,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.176940570757717,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.432786699183954,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.0576738198868067,"ARHGEF10L_CNV.Amplification"
"ARHGEF10L_CNV.Deletion",-0.179837872883857,"ARHGEF10L_CNV.Deletion"
"PAX7_CNV.Deletion",-0.338669555713462,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.0595788844342641,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.648002278679616,"SFPQ_CNV.Deletion"
"MYCL_CNV.Amplification",0.151255300348781,"MYCL_CNV.Amplification"
"MPL_CNV.Amplification",0.117415624748354,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.424707557511332,"MUTYH_CNV.Amplification"
"FUBP1_CNV.Amplification",-0.100273581906736,"FUBP1_CNV.Amplification"
"FUBP1_CNV.Deletion",0.202785349122101,"FUBP1_CNV.Deletion"
"ATP1A1_CNV.Amplification",0.0428238727724946,"ATP1A1_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.249428307455553,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.615006680116229,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.604285776852638,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-2.0142519390729e-14,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.0089087967321698,"ARNT_CNV.Amplification"
"MLLT11_CNV.Amplification",-0.0115948451478462,"MLLT11_CNV.Amplification"
"TPM3_CNV.Deletion",-1.03255325468045,"TPM3_CNV.Deletion"
"LMNA_CNV.Amplification",-0.662699116875785,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.0170571184424246,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",1.52830599588696,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.0812315088781992,"FCRL4_CNV.Deletion"
"PBX1_CNV.Deletion",0.0879801560895902,"PBX1_CNV.Deletion"
"PRRX1_CNV.Amplification",0.621297158374764,"PRRX1_CNV.Amplification"
"ABL2_CNV.Deletion",0.0202785105105475,"ABL2_CNV.Deletion"
"PAX8_CNV.Amplification",-0.295839596294716,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.555158656662169,"PAX8_CNV.Deletion"
