"","X1","variable"
"(Intercept)",3.41125505859578,"(Intercept)"
"CancerType.ACC",18.9879654943687,"CancerType.ACC"
"CancerType.BLCA",-4.86406254183244,"CancerType.BLCA"
"CancerType.BRCA",-1.85490827051455,"CancerType.BRCA"
"CancerType.CESC",-6.18570573690205,"CancerType.CESC"
"CancerType.CHOL",-4.52721806972169,"CancerType.CHOL"
"CancerType.COAD",-5.31900475060756,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.52772698707508,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.794852636523,"CancerType.GBM"
"CancerType.KIRC",2.84883044348957,"CancerType.KIRC"
"CancerType.KIRP",6.34187374593158,"CancerType.KIRP"
"CancerType.LGG",5.3009958794125,"CancerType.LGG"
"CancerType.LIHC",3.57102664292118,"CancerType.LIHC"
"CancerType.LUAD",0.160088478187617,"CancerType.LUAD"
"CancerType.LUSC",-0.451413563358148,"CancerType.LUSC"
"CancerType.OV",3.29738582712143,"CancerType.OV"
"CancerType.READ",-6.65575108217259,"CancerType.READ"
"CancerType.SARC",4.35094503625313,"CancerType.SARC"
"CancerType.SKCM",-0.337606398982625,"CancerType.SKCM"
"CancerType.STAD",-1.7173783105624,"CancerType.STAD"
"CancerType.UCS",-6.94485043582548,"CancerType.UCS"
"log_Mutation_rate",-0.713512742086527,"log_Mutation_rate"
"SBS1",-1.02824641695184,"SBS1"
"SBS2",1.61304294764011,"SBS2"
"SBS3",0.975346046190913,"SBS3"
"SBS4",0.0111709309027758,"SBS4"
"SBS5",0.0306646459270463,"SBS5"
"SBS6",-4.85386671524719,"SBS6"
"SBS8",-14.619258523592,"SBS8"
"SBS10a",-3.43095307685924,"SBS10a"
"SBS14",-11.2466016087348,"SBS14"
"SBS15",-4.6895405156365,"SBS15"
"SBS20",-13.2777087358848,"SBS20"
"SBS40",0.406333746340726,"SBS40"
"SBS44",-4.38117988842333,"SBS44"
"TP53_SNV",-1.08560147998219,"TP53_SNV"
"PTEN_SNV",-0.580257411063222,"PTEN_SNV"
"SLITRK6_SNV",-0.222933225010225,"SLITRK6_SNV"
"ZIC4_SNV",-0.430338764952342,"ZIC4_SNV"
"PYHIN1_SNV",-0.0312609269382793,"PYHIN1_SNV"
"GTF2I_SNV",-0.253383547647463,"GTF2I_SNV"
"PPP2R1A_SNV",0.256187365194252,"PPP2R1A_SNV"
"RPL22_CNV.Amplification",-0.0618683905806655,"RPL22_CNV.Amplification"
"RPL22_CNV.Deletion",-0.0189183553494577,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.634839899038093,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.980974152781129,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.690087971338983,"ARHGEF10L_CNV.Amplification"
"SFPQ_CNV.Deletion",0.460053816534228,"SFPQ_CNV.Deletion"
"MYCL_CNV.Amplification",0.213683258965859,"MYCL_CNV.Amplification"
"MPL_CNV.Amplification",0.471834429300074,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.829035973872099,"MUTYH_CNV.Amplification"
"FUBP1_CNV.Deletion",0.307687540630199,"FUBP1_CNV.Deletion"
"RBM15_CNV.Amplification",-0.612849352212333,"RBM15_CNV.Amplification"
"TRIM33_CNV.Amplification",-0.166650271598794,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.153599162383733,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.0513563353207487,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.73638037326339,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-0.200574118063271,"PDE4DIP_CNV.Deletion"
"SETDB1_CNV.Deletion",0.0905986399283524,"SETDB1_CNV.Deletion"
"TPM3_CNV.Deletion",-1.52804080436372,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",1.30569283825043,"MUC1_CNV.Deletion"
