"","X1","variable"
"(Intercept)",2.76241091429523,"(Intercept)"
"CancerType.ACC",19.3405997285711,"CancerType.ACC"
"CancerType.BLCA",-5.04567882225599,"CancerType.BLCA"
"CancerType.BRCA",-2.01654074397371,"CancerType.BRCA"
"CancerType.CESC",-6.15673406007203,"CancerType.CESC"
"CancerType.CHOL",-4.23632024416347,"CancerType.CHOL"
"CancerType.COAD",-5.4490932025832,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.40450697449483,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.0749014711315,"CancerType.GBM"
"CancerType.KIRC",2.70654685403808,"CancerType.KIRC"
"CancerType.KIRP",6.21217983322807,"CancerType.KIRP"
"CancerType.LGG",4.97819679550694,"CancerType.LGG"
"CancerType.LIHC",3.51777077785109,"CancerType.LIHC"
"CancerType.LUSC",-0.765560727456429,"CancerType.LUSC"
"CancerType.OV",3.74219426223753,"CancerType.OV"
"CancerType.PRAD",0.014085679057856,"CancerType.PRAD"
"CancerType.READ",-6.64810620247541,"CancerType.READ"
"CancerType.SARC",4.07043649785423,"CancerType.SARC"
"CancerType.STAD",-1.75536297711832,"CancerType.STAD"
"CancerType.UCEC",0.000577758210296272,"CancerType.UCEC"
"CancerType.UCS",-7.14437978594089,"CancerType.UCS"
"log_Mutation_rate",-0.751549576802801,"log_Mutation_rate"
"SBS1",-0.657753789883929,"SBS1"
"SBS2",2.26211565180949,"SBS2"
"SBS4",1.29232433912101,"SBS4"
"SBS6",-4.33983716871424,"SBS6"
"SBS8",-17.4111370939477,"SBS8"
"SBS10a",-2.87774742843981,"SBS10a"
"SBS13",0.708021773138836,"SBS13"
"SBS14",-7.63670631225793,"SBS14"
"SBS15",-4.75066287653482,"SBS15"
"SBS20",-13.9999641734709,"SBS20"
"SBS40",0.724623783992286,"SBS40"
"SBS44",-4.31184481459377,"SBS44"
"TP53_SNV",-1.06045915931777,"TP53_SNV"
"PTEN_SNV",-0.569886987542643,"PTEN_SNV"
"FAT3_SNV",0.00260314481124771,"FAT3_SNV"
"SLITRK6_SNV",-0.53955583228149,"SLITRK6_SNV"
"ZIC4_SNV",-0.477811663965156,"ZIC4_SNV"
"KIR3DL2_SNV",0.495133197433079,"KIR3DL2_SNV"
"CASP8_SNV",-0.0331647952336217,"CASP8_SNV"
"DEFB119_SNV",0.222360197562745,"DEFB119_SNV"
"GTF2I_SNV",-0.164439311920176,"GTF2I_SNV"
"FGFR2_SNV",0.0110138873708424,"FGFR2_SNV"
"PPP2R1A_SNV",0.174179496324315,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.0904981666512589,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.23422687808443,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.846922974886471,"SDHB_CNV.Amplification"
"SDHB_CNV.Deletion",-0.162886465925581,"SDHB_CNV.Deletion"
"ARHGEF10L_CNV.Amplification",0.356643701243824,"ARHGEF10L_CNV.Amplification"
"SFPQ_CNV.Deletion",0.434754998418312,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.000597395771303829,"THRAP3_CNV.Deletion"
"MPL_CNV.Amplification",0.0036237833276512,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.0194184332170621,"MUTYH_CNV.Amplification"
"TRIM33_CNV.Amplification",-0.207676702127344,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.143304650386637,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.338319946236022,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.66945114421323,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-4.72361497715911e-14,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.00621902299631133,"ARNT_CNV.Amplification"
"ARNT_CNV.Deletion",0.0209586727169631,"ARNT_CNV.Deletion"
"SETDB1_CNV.Deletion",0.210325332867483,"SETDB1_CNV.Deletion"
"MLLT11_CNV.Amplification",-0.10102579404031,"MLLT11_CNV.Amplification"
"TPM3_CNV.Deletion",-0.906523509813824,"TPM3_CNV.Deletion"
"MUC1_CNV.Amplification",0.000309143642123928,"MUC1_CNV.Amplification"
"MUC1_CNV.Deletion",0.580888222090245,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.422877345229525,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.425065628369762,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",0.995497014008757,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Amplification",-0.213842694352699,"FCRL4_CNV.Amplification"
"FCRL4_CNV.Deletion",-0.339377658234683,"FCRL4_CNV.Deletion"
"FCGR2B_CNV.Deletion",0.172342762119592,"FCGR2B_CNV.Deletion"
"PBX1_CNV.Amplification",-0.0677486196132531,"PBX1_CNV.Amplification"
"PBX1_CNV.Deletion",8.82403231359148e-05,"PBX1_CNV.Deletion"
"PRRX1_CNV.Amplification",0.636444438296604,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.548926456730137,"PRRX1_CNV.Deletion"
"ABL2_CNV.Deletion",0.199643177471061,"ABL2_CNV.Deletion"
"AKT3_CNV.Deletion",0.112828161146056,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.23800010489815,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.589279321579495,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.373391277017042,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.316408468030921,"LRP1B_CNV.Deletion"
"TGFBR2_CNV.Deletion",0.169165257449354,"TGFBR2_CNV.Deletion"
"CCR4_CNV.Amplification",-0.0747387707050682,"CCR4_CNV.Amplification"
"CCR4_CNV.Deletion",-0.00729318937989886,"CCR4_CNV.Deletion"
"MYD88_CNV.Deletion",0.341490623903845,"MYD88_CNV.Deletion"
"FHIT_CNV.Deletion",-0.486137093726476,"FHIT_CNV.Deletion"
"TFG_CNV.Amplification",0.384053840606392,"TFG_CNV.Amplification"
"CBLB_CNV.Amplification",-0.514638420916471,"CBLB_CNV.Amplification"
"CBLB_CNV.Deletion",-0.378966998226776,"CBLB_CNV.Deletion"
"GATA2_CNV.Deletion",0.212151515923122,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.394133730021388,"STAG1_CNV.Deletion"
"ATR_CNV.Amplification",-0.0908733800838681,"ATR_CNV.Amplification"
"MLF1_CNV.Deletion",0.000652143464896342,"MLF1_CNV.Deletion"
"MECOM_CNV.Deletion",-0.289877083617177,"MECOM_CNV.Deletion"
"TBL1XR1_CNV.Deletion",-0.280300748175272,"TBL1XR1_CNV.Deletion"
