"","X1","variable"
"(Intercept)",3.13167385151197,"(Intercept)"
"CancerType.ACC",18.4654261626326,"CancerType.ACC"
"CancerType.BLCA",-4.6230894435204,"CancerType.BLCA"
"CancerType.BRCA",-1.9845036613313,"CancerType.BRCA"
"CancerType.CESC",-6.1899382556278,"CancerType.CESC"
"CancerType.CHOL",-4.20467680998687,"CancerType.CHOL"
"CancerType.COAD",-5.14823710630992,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.82649535373779,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.8641841154957,"CancerType.GBM"
"CancerType.KIRC",2.75311908196446,"CancerType.KIRC"
"CancerType.KIRP",6.23693761223801,"CancerType.KIRP"
"CancerType.LGG",5.0493972761483,"CancerType.LGG"
"CancerType.LIHC",3.71331036016045,"CancerType.LIHC"
"CancerType.LUAD",0.115840433385562,"CancerType.LUAD"
"CancerType.LUSC",-0.288708229496219,"CancerType.LUSC"
"CancerType.OV",3.73595966573902,"CancerType.OV"
"CancerType.READ",-6.62815059481062,"CancerType.READ"
"CancerType.SARC",4.20206174625686,"CancerType.SARC"
"CancerType.SKCM",-0.130328036724421,"CancerType.SKCM"
"CancerType.STAD",-1.71706633252199,"CancerType.STAD"
"CancerType.UCEC",0.373029971634398,"CancerType.UCEC"
"CancerType.UCS",-7.04736889326831,"CancerType.UCS"
"log_Mutation_rate",-0.784198225863579,"log_Mutation_rate"
"SBS1",-1.00286192134563,"SBS1"
"SBS2",2.16115420693329,"SBS2"
"SBS4",0.135875326455299,"SBS4"
"SBS5",0.179544232679892,"SBS5"
"SBS6",-2.67030917393425,"SBS6"
"SBS8",-14.693427010999,"SBS8"
"SBS10a",-3.57763433132681,"SBS10a"
"SBS14",-10.024044653909,"SBS14"
"SBS15",-4.91065407356241,"SBS15"
"SBS20",-11.9491623519524,"SBS20"
"SBS40",0.659670058881182,"SBS40"
"SBS44",-4.3435853091775,"SBS44"
"TP53_SNV",-1.12478552226911,"TP53_SNV"
"PTEN_SNV",-0.76150226172455,"PTEN_SNV"
"FAT3_SNV",0.0116125988364342,"FAT3_SNV"
"SLITRK6_SNV",-0.384062972154072,"SLITRK6_SNV"
"ZIC4_SNV",-0.677448700387607,"ZIC4_SNV"
"PYHIN1_SNV",-0.285812806741387,"PYHIN1_SNV"
"KIR3DL2_SNV",0.681699917801117,"KIR3DL2_SNV"
"GTF2I_SNV",-0.157499423160936,"GTF2I_SNV"
"FCRL1_SNV",-0.0732006780473878,"FCRL1_SNV"
"PPP2R1A_SNV",0.430982993344325,"PPP2R1A_SNV"
"RPL22_CNV.Amplification",-0.0410083129573131,"RPL22_CNV.Amplification"
"SPEN_CNV.Deletion",-0.407595471777261,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.695784945010345,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.0910637664625288,"ARHGEF10L_CNV.Amplification"
"PAX7_CNV.Deletion",-0.389987740297566,"PAX7_CNV.Deletion"
"SFPQ_CNV.Deletion",0.398489617360083,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.0253334564214997,"THRAP3_CNV.Deletion"
"MPL_CNV.Amplification",0.58628327222447,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.632361593264204,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.428688465716893,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Deletion",0.183155855384224,"FUBP1_CNV.Deletion"
"RBM15_CNV.Amplification",-0.141624760876351,"RBM15_CNV.Amplification"
"TRIM33_CNV.Amplification",-0.439813751841391,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.0871441427877449,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.422668451036065,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.381014258521326,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-3.24862508277439e-14,"PDE4DIP_CNV.Deletion"
"MLLT11_CNV.Deletion",0.103617651821666,"MLLT11_CNV.Deletion"
"TPM3_CNV.Deletion",-1.51503973131344,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.613682506816194,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.59318159477606,"LMNA_CNV.Amplification"
"NTRK1_CNV.Deletion",1.1489121781162,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.350958830026366,"FCRL4_CNV.Deletion"
"FCGR2B_CNV.Deletion",0.0682448852433627,"FCGR2B_CNV.Deletion"
"PBX1_CNV.Deletion",0.217521635436554,"PBX1_CNV.Deletion"
"PRRX1_CNV.Amplification",0.291299826433,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.238209595894327,"PRRX1_CNV.Deletion"
"AKT3_CNV.Deletion",0.0047184690057141,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.455859692389827,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.433575134877413,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.417158394365994,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.529956087095214,"LRP1B_CNV.Deletion"
"TGFBR2_CNV.Deletion",0.17134877011875,"TGFBR2_CNV.Deletion"
"MYD88_CNV.Deletion",0.369819535648286,"MYD88_CNV.Deletion"
"PBRM1_CNV.Amplification",0.0228642999932429,"PBRM1_CNV.Amplification"
"PBRM1_CNV.Deletion",-0.0615195457157987,"PBRM1_CNV.Deletion"
"FHIT_CNV.Deletion",-0.473116963109493,"FHIT_CNV.Deletion"
"TFG_CNV.Amplification",0.0316533473095115,"TFG_CNV.Amplification"
"CBLB_CNV.Amplification",-0.497491420640956,"CBLB_CNV.Amplification"
"GATA2_CNV.Deletion",0.00560337968131315,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.918692078684608,"STAG1_CNV.Deletion"
"PIK3CB_CNV.Deletion",0.610757413427806,"PIK3CB_CNV.Deletion"
