"","X1","variable"
"(Intercept)",3.0551211724752,"(Intercept)"
"CancerType.ACC",18.6972794050031,"CancerType.ACC"
"CancerType.BLCA",-4.99975984896852,"CancerType.BLCA"
"CancerType.BRCA",-2.03204528093721,"CancerType.BRCA"
"CancerType.CESC",-6.24067288070562,"CancerType.CESC"
"CancerType.CHOL",-3.96324178201063,"CancerType.CHOL"
"CancerType.COAD",-5.49619089761443,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.58008704852265,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.9076140869708,"CancerType.GBM"
"CancerType.KIRC",2.71908288275517,"CancerType.KIRC"
"CancerType.KIRP",6.19425077300429,"CancerType.KIRP"
"CancerType.LGG",5.31533078487776,"CancerType.LGG"
"CancerType.LIHC",3.63954784396249,"CancerType.LIHC"
"CancerType.LUSC",-0.82547380627957,"CancerType.LUSC"
"CancerType.OV",3.42840039992771,"CancerType.OV"
"CancerType.PRAD",0.00235425941244015,"CancerType.PRAD"
"CancerType.READ",-7.00245574077808,"CancerType.READ"
"CancerType.SARC",3.93857465482373,"CancerType.SARC"
"CancerType.SKCM",-0.390260672228549,"CancerType.SKCM"
"CancerType.STAD",-2.11362782494693,"CancerType.STAD"
"CancerType.UCEC",0.00730841806874943,"CancerType.UCEC"
"CancerType.UCS",-6.40306579371401,"CancerType.UCS"
"log_Mutation_rate",-0.707042194490698,"log_Mutation_rate"
"SBS1",-1.07888325621805,"SBS1"
"SBS2",1.77090712303254,"SBS2"
"SBS3",0.979090152347741,"SBS3"
"SBS4",0.443908159567776,"SBS4"
"SBS5",0.0440847592726279,"SBS5"
"SBS6",-3.98997855693289,"SBS6"
"SBS8",-16.8520805607879,"SBS8"
"SBS10a",-4.1533005303245,"SBS10a"
"SBS14",-8.33744329701125,"SBS14"
"SBS15",-3.31022468976644,"SBS15"
"SBS20",-7.09943855038146,"SBS20"
"SBS40",0.135587266655714,"SBS40"
"SBS44",-4.98899046054301,"SBS44"
"TP53_SNV",-1.22127449921422,"TP53_SNV"
"PTEN_SNV",-0.419026386197383,"PTEN_SNV"
"FAT3_SNV",0.0705182592420242,"FAT3_SNV"
"CDKN2A_SNV",0.000220959655043663,"CDKN2A_SNV"
"SLITRK6_SNV",-0.359311875541174,"SLITRK6_SNV"
"ZIC4_SNV",-0.296057009002352,"ZIC4_SNV"
"FGFR2_SNV",0.0527244443797723,"FGFR2_SNV"
"PPP2R1A_SNV",0.0151094804250738,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.0780904191966681,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.522601688108705,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.217823202870416,"SDHB_CNV.Amplification"
"SFPQ_CNV.Amplification",0.152785966101476,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.311530535982107,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.00110349891136531,"THRAP3_CNV.Deletion"
"MPL_CNV.Amplification",0.0526349841735368,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.225912167486267,"MUTYH_CNV.Amplification"
"FUBP1_CNV.Amplification",-0.203109794344579,"FUBP1_CNV.Amplification"
"RBM15_CNV.Amplification",-0.0867768921456387,"RBM15_CNV.Amplification"
"TRIM33_CNV.Amplification",-0.428465270256686,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.185003613681968,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.203709799008703,"TENT5C_CNV.Amplification"
"NOTCH2_CNV.Deletion",-0.0125098174940741,"NOTCH2_CNV.Deletion"
"BCL9_CNV.Deletion",-0.837754996074168,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-0.00378780601675942,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.104465910956969,"ARNT_CNV.Amplification"
"MLLT11_CNV.Amplification",-0.0520709706689013,"MLLT11_CNV.Amplification"
"TPM3_CNV.Deletion",-1.09383729731672,"TPM3_CNV.Deletion"
"LMNA_CNV.Amplification",-0.484185786604971,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.166633204471305,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",1.40776920681471,"NTRK1_CNV.Deletion"
"PBX1_CNV.Amplification",-0.301761693692288,"PBX1_CNV.Amplification"
"PRRX1_CNV.Amplification",0.648608206575512,"PRRX1_CNV.Amplification"
"AKT3_CNV.Deletion",0.0227220967409512,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.513223810046532,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.473766354886441,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.334141305125758,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.275217180501331,"LRP1B_CNV.Deletion"
"MYD88_CNV.Deletion",0.186660991912254,"MYD88_CNV.Deletion"
"PBRM1_CNV.Amplification",0.241368003412791,"PBRM1_CNV.Amplification"
"FHIT_CNV.Amplification",-7.47840611094808e-06,"FHIT_CNV.Amplification"
"FHIT_CNV.Deletion",-0.347000777850516,"FHIT_CNV.Deletion"
"TFG_CNV.Amplification",1.75124423776133e-05,"TFG_CNV.Amplification"
"CBLB_CNV.Amplification",-0.382757637987935,"CBLB_CNV.Amplification"
"CBLB_CNV.Deletion",-0.283702014460895,"CBLB_CNV.Deletion"
"GATA2_CNV.Deletion",0.347745963802226,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.628749888254314,"STAG1_CNV.Deletion"
"PIK3CB_CNV.Deletion",0.00277227714993732,"PIK3CB_CNV.Deletion"
"FOXL2_CNV.Deletion",0.278602267499278,"FOXL2_CNV.Deletion"
"WWTR1_CNV.Deletion",0.13314328538979,"WWTR1_CNV.Deletion"
"GMPS_CNV.Amplification",-0.0663091733420934,"GMPS_CNV.Amplification"
"MLF1_CNV.Deletion",0.0635331607887492,"MLF1_CNV.Deletion"
"TBL1XR1_CNV.Deletion",-0.211981995184488,"TBL1XR1_CNV.Deletion"
