"","X1","variable"
"(Intercept)",3.25686262809179,"(Intercept)"
"CancerType.ACC",18.8869334536139,"CancerType.ACC"
"CancerType.BLCA",-4.97532020136637,"CancerType.BLCA"
"CancerType.BRCA",-2.16576874399442,"CancerType.BRCA"
"CancerType.CESC",-6.32098945270318,"CancerType.CESC"
"CancerType.CHOL",-3.51285361395244,"CancerType.CHOL"
"CancerType.COAD",-5.22388964850543,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.62158196702988,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.0372989054482,"CancerType.GBM"
"CancerType.KIRC",2.68139316503155,"CancerType.KIRC"
"CancerType.KIRP",6.10412431931425,"CancerType.KIRP"
"CancerType.LGG",5.02768431434809,"CancerType.LGG"
"CancerType.LIHC",3.66376048361247,"CancerType.LIHC"
"CancerType.LUSC",-0.644834466128295,"CancerType.LUSC"
"CancerType.OV",3.67553725118944,"CancerType.OV"
"CancerType.READ",-6.50446528110619,"CancerType.READ"
"CancerType.SARC",4.21354947165875,"CancerType.SARC"
"CancerType.SKCM",-0.478492883970487,"CancerType.SKCM"
"CancerType.STAD",-2.01028959925504,"CancerType.STAD"
"CancerType.UCEC",0.0177310192037206,"CancerType.UCEC"
"CancerType.UCS",-6.82769825924455,"CancerType.UCS"
"log_Mutation_rate",-0.767214510731471,"log_Mutation_rate"
"SBS1",-0.800325200712928,"SBS1"
"SBS2",2.76630746095211,"SBS2"
"SBS4",0.519951890283297,"SBS4"
"SBS5",0.00271554133823573,"SBS5"
"SBS6",-4.14134053073485,"SBS6"
"SBS8",-15.8922749439034,"SBS8"
"SBS10a",-3.49405754319115,"SBS10a"
"SBS13",0.0222805878896874,"SBS13"
"SBS14",-8.96352321138752,"SBS14"
"SBS15",-2.75417846821923,"SBS15"
"SBS20",-12.3545106138977,"SBS20"
"SBS40",0.978097113833741,"SBS40"
"SBS44",-4.37084799689019,"SBS44"
"TP53_SNV",-1.10577628469662,"TP53_SNV"
"PTEN_SNV",-0.497238858245716,"PTEN_SNV"
"ZIC4_SNV",-0.471409417942081,"ZIC4_SNV"
"PYHIN1_SNV",-0.0985455849468996,"PYHIN1_SNV"
"KIR3DL2_SNV",0.158957154766223,"KIR3DL2_SNV"
"CASP8_SNV",0.0309121381888542,"CASP8_SNV"
"GTF2I_SNV",-0.539402200569622,"GTF2I_SNV"
"FGFR2_SNV",0.123627383083582,"FGFR2_SNV"
"PPP2R1A_SNV",0.193879298524176,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.0669448741105491,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.572782812851015,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.688230620218937,"SDHB_CNV.Amplification"
"SDHB_CNV.Deletion",-0.108905104173592,"SDHB_CNV.Deletion"
"ARHGEF10L_CNV.Amplification",0.268561155150601,"ARHGEF10L_CNV.Amplification"
"SFPQ_CNV.Deletion",0.451064173004836,"SFPQ_CNV.Deletion"
"CSF3R_CNV.Amplification",-0.115986914799721,"CSF3R_CNV.Amplification"
"MPL_CNV.Amplification",0.312291413131765,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.167460395831238,"MUTYH_CNV.Amplification"
"FUBP1_CNV.Amplification",-0.219493187604327,"FUBP1_CNV.Amplification"
"TRIM33_CNV.Amplification",-0.383980179977846,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Amplification",0.00636602345263926,"ATP1A1_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.0975912195460681,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.554399861536283,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.379274804637368,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-5.88048970419542e-15,"PDE4DIP_CNV.Deletion"
"TPM3_CNV.Deletion",-0.786906506478848,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.201579657186012,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.740214201024645,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.389885397194083,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",0.743347329518725,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.452224929732036,"FCRL4_CNV.Deletion"
"FCGR2B_CNV.Deletion",0.00200576800526833,"FCGR2B_CNV.Deletion"
"PBX1_CNV.Amplification",-0.216339543470556,"PBX1_CNV.Amplification"
"PRRX1_CNV.Amplification",0.600162862314297,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.0226412336084018,"PRRX1_CNV.Deletion"
"AKT3_CNV.Deletion",0.0981446371667955,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.161971517942975,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.426244863590556,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.502476719881988,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.446602749710782,"LRP1B_CNV.Deletion"
"TGFBR2_CNV.Deletion",0.360423406104279,"TGFBR2_CNV.Deletion"
"CCR4_CNV.Amplification",-0.000832854625367947,"CCR4_CNV.Amplification"
"MYD88_CNV.Amplification",0.0990786242703768,"MYD88_CNV.Amplification"
"FHIT_CNV.Deletion",-0.571313420686449,"FHIT_CNV.Deletion"
"TFG_CNV.Deletion",0.00102167598087783,"TFG_CNV.Deletion"
"CBLB_CNV.Amplification",-0.286865601533533,"CBLB_CNV.Amplification"
"CBLB_CNV.Deletion",-0.181997439724169,"CBLB_CNV.Deletion"
"GATA2_CNV.Deletion",0.00386216561140032,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.851929888824378,"STAG1_CNV.Deletion"
"PIK3CB_CNV.Deletion",0.294638335285529,"PIK3CB_CNV.Deletion"
"FOXL2_CNV.Amplification",0.0426384025193758,"FOXL2_CNV.Amplification"
"WWTR1_CNV.Deletion",0.0399852849297768,"WWTR1_CNV.Deletion"
"MLF1_CNV.Deletion",0.531331203918668,"MLF1_CNV.Deletion"
"MECOM_CNV.Deletion",-0.0221018747993245,"MECOM_CNV.Deletion"
"PIK3CA_CNV.Amplification",-0.52494630871314,"PIK3CA_CNV.Amplification"
"MAP3K13_CNV.Deletion",0.355478193099952,"MAP3K13_CNV.Deletion"
"LPP_CNV.Deletion",-0.571441022435404,"LPP_CNV.Deletion"
"TP63_CNV.Amplification",-0.177906960986749,"TP63_CNV.Amplification"
"MB21D2_CNV.Deletion",-0.207577612015882,"MB21D2_CNV.Deletion"
"FGFR3_CNV.Amplification",-0.000550048890449574,"FGFR3_CNV.Amplification"
"FGFR3_CNV.Deletion",0.401069392885978,"FGFR3_CNV.Deletion"
"TEC_CNV.Amplification",0.0319607535021615,"TEC_CNV.Amplification"
"FIP1L1_CNV.Amplification",-0.286369754065248,"FIP1L1_CNV.Amplification"
"CHIC2_CNV.Deletion",0.0891340435143508,"CHIC2_CNV.Deletion"
"PDGFRA_CNV.Deletion",0.899651007089583,"PDGFRA_CNV.Deletion"
"KDR_CNV.Amplification",-0.247559648446528,"KDR_CNV.Amplification"
"AFF1_CNV.Amplification",-0.0184171466166741,"AFF1_CNV.Amplification"
"AFF1_CNV.Deletion",-0.104549577430823,"AFF1_CNV.Deletion"
"RAP1GDS1_CNV.Deletion",-0.192028776981875,"RAP1GDS1_CNV.Deletion"
"TET2_CNV.Amplification",-0.125653817197928,"TET2_CNV.Amplification"
"LEF1_CNV.Amplification",-0.0676896190959114,"LEF1_CNV.Amplification"
"LEF1_CNV.Deletion",0.262054078177728,"LEF1_CNV.Deletion"
"SDHA_CNV.Amplification",-0.365631469880563,"SDHA_CNV.Amplification"
"TERT_CNV.Deletion",0.206451548941394,"TERT_CNV.Deletion"
"CTNND2_CNV.Amplification",0.000599290380757723,"CTNND2_CNV.Amplification"
"CDH10_CNV.Deletion",0.481330333329388,"CDH10_CNV.Deletion"
"APC_CNV.Deletion",-0.205416658946806,"APC_CNV.Deletion"
"ACSL6_CNV.Deletion",-0.12755935388547,"ACSL6_CNV.Deletion"
"AFF4_CNV.Amplification",0.232944565824258,"AFF4_CNV.Amplification"
"NSD1_CNV.Amplification",0.188730443292278,"NSD1_CNV.Amplification"
"NSD1_CNV.Deletion",-0.06258980423329,"NSD1_CNV.Deletion"
"FLT4_CNV.Amplification",0.384249156210755,"FLT4_CNV.Amplification"
"FLT4_CNV.Deletion",0.0204319063652362,"FLT4_CNV.Deletion"
