"","X1","variable"
"(Intercept)",2.67044046869165,"(Intercept)"
"CancerType.ACC",19.2044076567341,"CancerType.ACC"
"CancerType.BLCA",-4.57131127966141,"CancerType.BLCA"
"CancerType.BRCA",-1.95640388420521,"CancerType.BRCA"
"CancerType.CESC",-6.03680207444256,"CancerType.CESC"
"CancerType.CHOL",-4.01932344087387,"CancerType.CHOL"
"CancerType.COAD",-5.13409606397052,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.77575709364118,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.3349832026225,"CancerType.GBM"
"CancerType.KIRC",3.23461107831339,"CancerType.KIRC"
"CancerType.KIRP",6.40023890550796,"CancerType.KIRP"
"CancerType.LGG",5.50056443710419,"CancerType.LGG"
"CancerType.LIHC",3.80417368237137,"CancerType.LIHC"
"CancerType.LUSC",-0.541862679783752,"CancerType.LUSC"
"CancerType.OV",3.71249495118835,"CancerType.OV"
"CancerType.READ",-6.28747035202921,"CancerType.READ"
"CancerType.SARC",4.33370047760398,"CancerType.SARC"
"CancerType.SKCM",-0.0498825759427445,"CancerType.SKCM"
"CancerType.STAD",-1.58272838718036,"CancerType.STAD"
"CancerType.UCEC",0.202243509857371,"CancerType.UCEC"
"CancerType.UCS",-7.04373903256518,"CancerType.UCS"
"log_Mutation_rate",-0.735593351776141,"log_Mutation_rate"
"SBS1",-0.88114821099786,"SBS1"
"SBS2",1.45535783930077,"SBS2"
"SBS3",0.000749748888240113,"SBS3"
"SBS4",1.08014373496081,"SBS4"
"SBS6",-3.40617072130759,"SBS6"
"SBS8",-16.1680727754601,"SBS8"
"SBS10a",-3.76863458193344,"SBS10a"
"SBS13",0.733850946546444,"SBS13"
"SBS14",-8.95315969634858,"SBS14"
"SBS15",-4.45882681329383,"SBS15"
"SBS20",-13.4775545077216,"SBS20"
"SBS40",0.125253544140332,"SBS40"
"SBS44",-3.31441840873194,"SBS44"
"TP53_SNV",-1.0915576559671,"TP53_SNV"
"PTEN_SNV",-0.643569852232189,"PTEN_SNV"
"SLITRK6_SNV",-0.183521011396318,"SLITRK6_SNV"
"ZIC4_SNV",-0.510479931700798,"ZIC4_SNV"
"KIR3DL2_SNV",0.602859389435852,"KIR3DL2_SNV"
"GTF2I_SNV",-0.141864110309904,"GTF2I_SNV"
"FCRL1_SNV",-0.111849100484613,"FCRL1_SNV"
"FGFR2_SNV",0.0224155993115836,"FGFR2_SNV"
"PPP2R1A_SNV",0.403725735937691,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.229537478612726,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.351825916577692,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.845566627266664,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.250267715302826,"ARHGEF10L_CNV.Amplification"
"PAX7_CNV.Deletion",-0.0799942440882574,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.00727604702791879,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.390138362071958,"SFPQ_CNV.Deletion"
"MYCL_CNV.Amplification",0.109735514735713,"MYCL_CNV.Amplification"
"MPL_CNV.Amplification",0.220396606912034,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.526835478124052,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.115092457775108,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Deletion",0.0531886955375477,"FUBP1_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.104958996765036,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.109026599222799,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.650745667861484,"TENT5C_CNV.Amplification"
"BCL9_CNV.Amplification",0.00541153575452652,"BCL9_CNV.Amplification"
"BCL9_CNV.Deletion",-0.479885603194765,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-4.22163143926469e-14,"PDE4DIP_CNV.Deletion"
"SETDB1_CNV.Deletion",0.191164889004361,"SETDB1_CNV.Deletion"
"TPM3_CNV.Amplification",0.00650212892953954,"TPM3_CNV.Amplification"
"TPM3_CNV.Deletion",-1.25062929899898,"TPM3_CNV.Deletion"
"LMNA_CNV.Amplification",-0.554854007885664,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.833703286396577,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",1.05600494590809,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.591387897347503,"FCRL4_CNV.Deletion"
"PBX1_CNV.Amplification",-0.138958669257554,"PBX1_CNV.Amplification"
"PRRX1_CNV.Amplification",0.548358702273493,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.277157759293219,"PRRX1_CNV.Deletion"
"ABL2_CNV.Deletion",0.174787050080014,"ABL2_CNV.Deletion"
"AKT3_CNV.Deletion",0.0109143844160346,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.484251893276877,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.443773831046738,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.175789130152776,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.451988960091365,"LRP1B_CNV.Deletion"
"MYD88_CNV.Amplification",0.433426450755478,"MYD88_CNV.Amplification"
"MYD88_CNV.Deletion",0.251958143376081,"MYD88_CNV.Deletion"
"FHIT_CNV.Deletion",-0.406926363566597,"FHIT_CNV.Deletion"
"CBLB_CNV.Amplification",-0.0659114421727797,"CBLB_CNV.Amplification"
"STAG1_CNV.Deletion",-0.696540691516857,"STAG1_CNV.Deletion"
"PIK3CB_CNV.Deletion",0.0158760509767505,"PIK3CB_CNV.Deletion"
"FOXL2_CNV.Deletion",0.590927398427311,"FOXL2_CNV.Deletion"
"WWTR1_CNV.Deletion",0.251870082396236,"WWTR1_CNV.Deletion"
"GMPS_CNV.Amplification",-0.155005414058046,"GMPS_CNV.Amplification"
"PIK3CA_CNV.Amplification",-0.358116389787772,"PIK3CA_CNV.Amplification"
"MAP3K13_CNV.Deletion",0.232451281322797,"MAP3K13_CNV.Deletion"
"ETV5_CNV.Amplification",0.106898402014163,"ETV5_CNV.Amplification"
"BCL6_CNV.Deletion",0.419378043366758,"BCL6_CNV.Deletion"
"LPP_CNV.Deletion",-0.5506461644084,"LPP_CNV.Deletion"
"TP63_CNV.Amplification",-0.160790543380978,"TP63_CNV.Amplification"
"TP63_CNV.Deletion",-0.49843198849011,"TP63_CNV.Deletion"
"MB21D2_CNV.Deletion",-0.195791090690477,"MB21D2_CNV.Deletion"
"FGFR3_CNV.Amplification",-0.0690506751335421,"FGFR3_CNV.Amplification"
"FGFR3_CNV.Deletion",0.0817598609549816,"FGFR3_CNV.Deletion"
"TEC_CNV.Amplification",0.277101918964094,"TEC_CNV.Amplification"
"TEC_CNV.Deletion",-0.0151021971159493,"TEC_CNV.Deletion"
"FIP1L1_CNV.Amplification",-0.69871846171829,"FIP1L1_CNV.Amplification"
"FIP1L1_CNV.Deletion",-0.262131077694502,"FIP1L1_CNV.Deletion"
"PDGFRA_CNV.Deletion",0.890195677026345,"PDGFRA_CNV.Deletion"
"AFF1_CNV.Deletion",-0.0526478552913579,"AFF1_CNV.Deletion"
"RAP1GDS1_CNV.Amplification",-0.104498034647232,"RAP1GDS1_CNV.Amplification"
"RAP1GDS1_CNV.Deletion",-0.309872472344472,"RAP1GDS1_CNV.Deletion"
"TET2_CNV.Amplification",-0.0331207312063264,"TET2_CNV.Amplification"
"LEF1_CNV.Deletion",0.368474179099104,"LEF1_CNV.Deletion"
"SDHA_CNV.Amplification",-0.230189369582718,"SDHA_CNV.Amplification"
"CTNND2_CNV.Deletion",-0.0878676315126807,"CTNND2_CNV.Deletion"
"CDH10_CNV.Deletion",0.925771412528893,"CDH10_CNV.Deletion"
"APC_CNV.Deletion",-0.295772609035416,"APC_CNV.Deletion"
"ACSL6_CNV.Deletion",-0.0147818542365563,"ACSL6_CNV.Deletion"
"AFF4_CNV.Amplification",0.309267920958937,"AFF4_CNV.Amplification"
"AFF4_CNV.Deletion",-0.0856315371197705,"AFF4_CNV.Deletion"
"CSF1R_CNV.Amplification",0.396477710526139,"CSF1R_CNV.Amplification"
"CSF1R_CNV.Deletion",0.309797919085536,"CSF1R_CNV.Deletion"
"NSD1_CNV.Deletion",-0.257248488696801,"NSD1_CNV.Deletion"
"FLT4_CNV.Amplification",0.241719937851723,"FLT4_CNV.Amplification"
"FOXO3_CNV.Deletion",-0.278514676743363,"FOXO3_CNV.Deletion"
"PTPRK_CNV.Deletion",0.152061887116805,"PTPRK_CNV.Deletion"
"SGK1_CNV.Amplification",-0.172224740663315,"SGK1_CNV.Amplification"
"SGK1_CNV.Deletion",0.357750078382467,"SGK1_CNV.Deletion"
"LATS1_CNV.Amplification",0.423579056510733,"LATS1_CNV.Amplification"
"LATS1_CNV.Deletion",0.405751877397463,"LATS1_CNV.Deletion"
"ESR1_CNV.Amplification",0.19059485000079,"ESR1_CNV.Amplification"
"ARID1B_CNV.Deletion",-0.462931472859949,"ARID1B_CNV.Deletion"
"EZR_CNV.Amplification",0.235234970961762,"EZR_CNV.Amplification"
"QKI_CNV.Amplification",0.196658113703875,"QKI_CNV.Amplification"
"AFDN_CNV.Amplification",-0.23880169443761,"AFDN_CNV.Amplification"
"RAC1_CNV.Amplification",-0.138752416074993,"RAC1_CNV.Amplification"
"SBDS_CNV.Amplification",-0.117809255795479,"SBDS_CNV.Amplification"
"SBDS_CNV.Deletion",-0.292235198145581,"SBDS_CNV.Deletion"
"TRRAP_CNV.Deletion",0.245795060865695,"TRRAP_CNV.Deletion"
"SND1_CNV.Deletion",0.353394709938456,"SND1_CNV.Deletion"
"NRG1_CNV.Deletion",0.311461697123485,"NRG1_CNV.Deletion"
"FGFR1_CNV.Amplification",-0.424512448821053,"FGFR1_CNV.Amplification"
"FGFR1_CNV.Deletion",-0.256257220372034,"FGFR1_CNV.Deletion"
"IKBKB_CNV.Deletion",-0.0110796682120979,"IKBKB_CNV.Deletion"
"HOOK3_CNV.Amplification",0.0692036080701573,"HOOK3_CNV.Amplification"
"HOOK3_CNV.Deletion",-0.407297638927604,"HOOK3_CNV.Deletion"
"PLAG1_CNV.Amplification",-0.489290219403924,"PLAG1_CNV.Amplification"
"PLAG1_CNV.Deletion",-0.379859831981886,"PLAG1_CNV.Deletion"
"NCOA2_CNV.Deletion",0.381860072826968,"NCOA2_CNV.Deletion"
"HEY1_CNV.Deletion",0.126917265952077,"HEY1_CNV.Deletion"
"NBN_CNV.Amplification",0.272440983209824,"NBN_CNV.Amplification"
"COX6C_CNV.Deletion",-0.0745224955254109,"COX6C_CNV.Deletion"
"UBR5_CNV.Amplification",-0.556933143099366,"UBR5_CNV.Amplification"
"UBR5_CNV.Deletion",0.328625701306255,"UBR5_CNV.Deletion"
"EIF3E_CNV.Amplification",0.0803646247463401,"EIF3E_CNV.Amplification"
"EIF3E_CNV.Deletion",-0.062725384464369,"EIF3E_CNV.Deletion"
"RAD21_CNV.Amplification",0.672280115125348,"RAD21_CNV.Amplification"
"RAD21_CNV.Deletion",0.014195836305111,"RAD21_CNV.Deletion"
"MYC_CNV.Amplification",-0.996978397011576,"MYC_CNV.Amplification"
"FAM135B_CNV.Amplification",0.428732498773276,"FAM135B_CNV.Amplification"
"RECQL4_CNV.Deletion",-0.44329924506315,"RECQL4_CNV.Deletion"
"JAK2_CNV.Amplification",0.0127206600171541,"JAK2_CNV.Amplification"
"JAK2_CNV.Deletion",0.133800819839474,"JAK2_CNV.Deletion"
"NFIB_CNV.Amplification",-0.263898513586166,"NFIB_CNV.Amplification"
"NFIB_CNV.Deletion",-0.418745307317427,"NFIB_CNV.Deletion"
"CDKN2A_CNV.Deletion",0.702115046413617,"CDKN2A_CNV.Deletion"
"FANCG_CNV.Amplification",-0.141062402371782,"FANCG_CNV.Amplification"
"FANCG_CNV.Deletion",-0.578190543953341,"FANCG_CNV.Deletion"
"PAX5_CNV.Deletion",0.454327370711791,"PAX5_CNV.Deletion"
"SYK_CNV.Amplification",0.281098827630256,"SYK_CNV.Amplification"
"WNK2_CNV.Amplification",-0.306522474578445,"WNK2_CNV.Amplification"
"FANCC_CNV.Amplification",-0.662673808163388,"FANCC_CNV.Amplification"
"FANCC_CNV.Deletion",0.0713651456110037,"FANCC_CNV.Deletion"
"ABL1_CNV.Deletion",-0.116499846572417,"ABL1_CNV.Deletion"
"RALGDS_CNV.Amplification",-0.23310103795205,"RALGDS_CNV.Amplification"
"RALGDS_CNV.Deletion",-0.480295759278313,"RALGDS_CNV.Deletion"
"NOTCH1_CNV.Amplification",0.010916365281696,"NOTCH1_CNV.Amplification"
"NOTCH1_CNV.Deletion",0.440521016825252,"NOTCH1_CNV.Deletion"
"KLF6_CNV.Amplification",-0.443033456947513,"KLF6_CNV.Amplification"
"KLF6_CNV.Deletion",-0.589501245311647,"KLF6_CNV.Deletion"
"GATA3_CNV.Amplification",-0.00303479670610374,"GATA3_CNV.Amplification"
"GATA3_CNV.Deletion",0.532468589510389,"GATA3_CNV.Deletion"
"ZEB1_CNV.Amplification",0.536026718341488,"ZEB1_CNV.Amplification"
"PRF1_CNV.Deletion",-0.180708345318097,"PRF1_CNV.Deletion"
"NUTM2B_CNV.Deletion",-0.0495229837590287,"NUTM2B_CNV.Deletion"
"BMPR1A_CNV.Deletion",0.602717346964256,"BMPR1A_CNV.Deletion"
"PTEN_CNV.Amplification",-0.425158545131997,"PTEN_CNV.Amplification"
"PTEN_CNV.Deletion",-0.852872085946769,"PTEN_CNV.Deletion"
"FAS_CNV.Amplification",-1.32640739977898,"FAS_CNV.Amplification"
"CPEB3_CNV.Amplification",0.949711335738956,"CPEB3_CNV.Amplification"
"CPEB3_CNV.Deletion",0.00050574663455443,"CPEB3_CNV.Deletion"
"CYP2C8_CNV.Amplification",0.791071405090103,"CYP2C8_CNV.Amplification"
"NT5C2_CNV.Amplification",0.149458310370658,"NT5C2_CNV.Amplification"
"NT5C2_CNV.Deletion",0.155353828371668,"NT5C2_CNV.Deletion"
"NUP98_CNV.Amplification",-0.348370655551643,"NUP98_CNV.Amplification"
"FEN1_CNV.Deletion",-0.202752596400808,"FEN1_CNV.Deletion"
"MEN1_CNV.Amplification",-0.2144677644366,"MEN1_CNV.Amplification"
"MEN1_CNV.Deletion",0.164834559677822,"MEN1_CNV.Deletion"
"KDM5A_CNV.Amplification",-0.128665981703926,"KDM5A_CNV.Amplification"
"ERC1_CNV.Deletion",-0.0596356311632057,"ERC1_CNV.Deletion"
"CCND2_CNV.Deletion",-0.133001449531066,"CCND2_CNV.Deletion"
"CHD4_CNV.Amplification",-0.658552292685559,"CHD4_CNV.Amplification"
"CHD4_CNV.Deletion",-0.417960246261806,"CHD4_CNV.Deletion"
"PTPN6_CNV.Amplification",0.165047935256011,"PTPN6_CNV.Amplification"
"ETV6_CNV.Amplification",-0.741790488687669,"ETV6_CNV.Amplification"
"ETV6_CNV.Deletion",0.137824593758439,"ETV6_CNV.Deletion"
"ETNK1_CNV.Amplification",0.00533239926188945,"ETNK1_CNV.Amplification"
"KRAS_CNV.Amplification",0.0456140517806601,"KRAS_CNV.Amplification"
"KRAS_CNV.Deletion",-0.00495844908438346,"KRAS_CNV.Deletion"
"ATF1_CNV.Amplification",0.301195416507374,"ATF1_CNV.Amplification"
"ATF1_CNV.Deletion",-0.842996563758083,"ATF1_CNV.Deletion"
"ZMYM2_CNV.Amplification",-0.241899116304664,"ZMYM2_CNV.Amplification"
"ZMYM2_CNV.Deletion",0.560273945022755,"ZMYM2_CNV.Deletion"
"CDX2_CNV.Amplification",-0.176090976533762,"CDX2_CNV.Amplification"
"FLT3_CNV.Deletion",0.0600989307638553,"FLT3_CNV.Deletion"
"NBEA_CNV.Amplification",0.208958942557449,"NBEA_CNV.Amplification"
"RB1_CNV.Amplification",-0.92818347818253,"RB1_CNV.Amplification"
"RB1_CNV.Deletion",-1.20937798289852,"RB1_CNV.Deletion"
"CCNB1IP1_CNV.Amplification",-0.180103068644656,"CCNB1IP1_CNV.Amplification"
"CCNB1IP1_CNV.Deletion",0.652053563195321,"CCNB1IP1_CNV.Deletion"
"TRIP11_CNV.Amplification",0.255869682913582,"TRIP11_CNV.Amplification"
"TRIP11_CNV.Deletion",0.382256397941661,"TRIP11_CNV.Deletion"
"HSP90AA1_CNV.Amplification",-0.201668561245743,"HSP90AA1_CNV.Amplification"
"HSP90AA1_CNV.Deletion",-0.38171434283315,"HSP90AA1_CNV.Deletion"
"NUTM1_CNV.Deletion",-0.0645627297879131,"NUTM1_CNV.Deletion"
"KNL1_CNV.Amplification",0.450353387850922,"KNL1_CNV.Amplification"
"B2M_CNV.Amplification",0.34901500412931,"B2M_CNV.Amplification"
"MAP2K1_CNV.Deletion",0.803028959897804,"MAP2K1_CNV.Deletion"
"FES_CNV.Deletion",-0.233816869117902,"FES_CNV.Deletion"
"FUS_CNV.Amplification",-0.470995619057435,"FUS_CNV.Amplification"
"CYLD_CNV.Amplification",0.240534040077355,"CYLD_CNV.Amplification"
"CYLD_CNV.Deletion",-0.936323642520324,"CYLD_CNV.Deletion"
"ZFHX3_CNV.Amplification",-0.194788129656415,"ZFHX3_CNV.Amplification"
"ZFHX3_CNV.Deletion",0.925743729522727,"ZFHX3_CNV.Deletion"
"MAP2K4_CNV.Deletion",-0.0127420296353596,"MAP2K4_CNV.Deletion"
"NCOR1_CNV.Amplification",-0.190320604235622,"NCOR1_CNV.Amplification"
"NCOR1_CNV.Deletion",0.466511582787441,"NCOR1_CNV.Deletion"
"FLCN_CNV.Amplification",-0.329427019580292,"FLCN_CNV.Amplification"
"SPECC1_CNV.Amplification",-0.0222559533238212,"SPECC1_CNV.Amplification"
"SPECC1_CNV.Deletion",-0.212587548634343,"SPECC1_CNV.Deletion"
"SUZ12_CNV.Amplification",0.00518907064464301,"SUZ12_CNV.Amplification"
"MLLT6_CNV.Amplification",0.0458361830748413,"MLLT6_CNV.Amplification"
"MLLT6_CNV.Deletion",0.283685127064549,"MLLT6_CNV.Deletion"
"CLTC_CNV.Deletion",0.134693572928065,"CLTC_CNV.Deletion"
"PPM1D_CNV.Amplification",-0.537052661398226,"PPM1D_CNV.Amplification"
"BRIP1_CNV.Deletion",0.0802277018430424,"BRIP1_CNV.Deletion"
"CD79B_CNV.Amplification",0.40314775887467,"CD79B_CNV.Amplification"
"PRKAR1A_CNV.Deletion",0.216284358982935,"PRKAR1A_CNV.Deletion"
"SRSF2_CNV.Amplification",-0.193699754947139,"SRSF2_CNV.Amplification"
"CANT1_CNV.Amplification",-0.226888892415591,"CANT1_CNV.Amplification"
"ASPSCR1_CNV.Amplification",-0.0411397410246901,"ASPSCR1_CNV.Amplification"
"SMAD4_CNV.Amplification",-0.0559131028374153,"SMAD4_CNV.Amplification"
"SMAD4_CNV.Deletion",0.440350549045894,"SMAD4_CNV.Deletion"
"FSTL3_CNV.Amplification",-0.228067139560621,"FSTL3_CNV.Amplification"
"FSTL3_CNV.Deletion",-0.394212753601037,"FSTL3_CNV.Deletion"
"LYL1_CNV.Amplification",-0.486869934173279,"LYL1_CNV.Amplification"
"LYL1_CNV.Deletion",0.273942056638418,"LYL1_CNV.Deletion"
"DNAJB1_CNV.Amplification",-0.443542723509301,"DNAJB1_CNV.Amplification"
"BRD4_CNV.Amplification",0.0553071161454713,"BRD4_CNV.Amplification"
"BRD4_CNV.Deletion",-0.0209688135684478,"BRD4_CNV.Deletion"
"TPM4_CNV.Deletion",0.097236595926185,"TPM4_CNV.Deletion"
"JAK3_CNV.Amplification",-0.0320354219333049,"JAK3_CNV.Amplification"
"JAK3_CNV.Deletion",-0.0661990083040079,"JAK3_CNV.Deletion"
"ELL_CNV.Deletion",-0.116055625292409,"ELL_CNV.Deletion"
"CCNE1_CNV.Amplification",-0.0751519465545648,"CCNE1_CNV.Amplification"
"CCNE1_CNV.Deletion",0.0567710847692853,"CCNE1_CNV.Deletion"
"CEP89_CNV.Amplification",-0.662049315102926,"CEP89_CNV.Amplification"
"CEP89_CNV.Deletion",0.370121742013058,"CEP89_CNV.Deletion"
"CEBPA_CNV.Deletion",-0.0290893558053842,"CEBPA_CNV.Deletion"
"BCL3_CNV.Deletion",-0.336108548156075,"BCL3_CNV.Deletion"
"BAX_CNV.Amplification",-0.300194702989389,"BAX_CNV.Amplification"
