"","X1","variable"
"(Intercept)",3.01135470364467,"(Intercept)"
"CancerType.ACC",18.7023154244171,"CancerType.ACC"
"CancerType.BLCA",-5.1072835556791,"CancerType.BLCA"
"CancerType.BRCA",-2.16404229474054,"CancerType.BRCA"
"CancerType.CESC",-6.42976178948323,"CancerType.CESC"
"CancerType.CHOL",-4.17135065246198,"CancerType.CHOL"
"CancerType.COAD",-5.5210093755565,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.44838520702597,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.9429785373324,"CancerType.GBM"
"CancerType.KIRC",2.74520157817559,"CancerType.KIRC"
"CancerType.KIRP",6.15036497261741,"CancerType.KIRP"
"CancerType.LGG",5.07791262361209,"CancerType.LGG"
"CancerType.LIHC",3.35129947444352,"CancerType.LIHC"
"CancerType.LUSC",-0.650668633637449,"CancerType.LUSC"
"CancerType.OV",3.32814901919638,"CancerType.OV"
"CancerType.READ",-6.60345393734128,"CancerType.READ"
"CancerType.SARC",3.90524121766283,"CancerType.SARC"
"CancerType.SKCM",-0.388380776635414,"CancerType.SKCM"
"CancerType.STAD",-1.64342991487262,"CancerType.STAD"
"CancerType.UCEC",0.165045772510677,"CancerType.UCEC"
"CancerType.UCS",-7.19875796880286,"CancerType.UCS"
"log_Mutation_rate",-0.641458820857658,"log_Mutation_rate"
"SBS1",-0.865940998235871,"SBS1"
"SBS2",1.88293694680446,"SBS2"
"SBS4",0.250086714641916,"SBS4"
"SBS6",-3.85710869615166,"SBS6"
"SBS8",-14.4899873281019,"SBS8"
"SBS10a",-5.92244351844305,"SBS10a"
"SBS13",0.0363366826574345,"SBS13"
"SBS14",-10.2922956938524,"SBS14"
"SBS15",-4.67986337874888,"SBS15"
"SBS20",-20.6150199945873,"SBS20"
"SBS40",0.088339655677731,"SBS40"
"SBS44",-4.71403787892778,"SBS44"
"TP53_SNV",-1.16645244286585,"TP53_SNV"
"PTEN_SNV",-0.522249645345489,"PTEN_SNV"
"CDKN2A_SNV",0.104851136700309,"CDKN2A_SNV"
"SLITRK6_SNV",-0.433160521844156,"SLITRK6_SNV"
"ZIC4_SNV",-0.433120468302743,"ZIC4_SNV"
"KIR3DL2_SNV",0.120415240948331,"KIR3DL2_SNV"
"CASP8_SNV",0.21109573129075,"CASP8_SNV"
"GTF2I_SNV",-0.690559317893928,"GTF2I_SNV"
"PPP2R1A_SNV",0.191977810049259,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.155696888180376,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.243918262143142,"SPEN_CNV.Deletion"
