"","X1","variable"
"(Intercept)",2.9451815688658,"(Intercept)"
"CancerType.ACC",18.8553781402056,"CancerType.ACC"
"CancerType.BLCA",-4.82968956854211,"CancerType.BLCA"
"CancerType.BRCA",-1.98612152358964,"CancerType.BRCA"
"CancerType.CESC",-6.15654456638415,"CancerType.CESC"
"CancerType.CHOL",-3.87523649996407,"CancerType.CHOL"
"CancerType.COAD",-5.11980020770307,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.7551400958151,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.8962408389596,"CancerType.GBM"
"CancerType.KIRC",3.04261164605792,"CancerType.KIRC"
"CancerType.KIRP",6.4192959334976,"CancerType.KIRP"
"CancerType.LGG",5.43267963476083,"CancerType.LGG"
"CancerType.LIHC",3.6424221023183,"CancerType.LIHC"
"CancerType.LUSC",-0.332005585543034,"CancerType.LUSC"
"CancerType.OV",3.7328831720053,"CancerType.OV"
"CancerType.READ",-6.47586024338749,"CancerType.READ"
"CancerType.SARC",4.11659214962508,"CancerType.SARC"
"CancerType.SKCM",-0.302339730046382,"CancerType.SKCM"
"CancerType.STAD",-1.84485282128848,"CancerType.STAD"
"CancerType.UCEC",0.0258639522417549,"CancerType.UCEC"
"CancerType.UCS",-6.80241831739052,"CancerType.UCS"
"log_Mutation_rate",-0.749919209305793,"log_Mutation_rate"
"SBS1",-0.732815250891903,"SBS1"
"SBS2",2.55965398383974,"SBS2"
"SBS3",0.288763405505793,"SBS3"
"SBS4",0.444729982532476,"SBS4"
"SBS6",-3.69182454837944,"SBS6"
"SBS8",-15.444366009868,"SBS8"
"SBS10a",-2.51379364730542,"SBS10a"
"SBS13",0.0207707696692712,"SBS13"
"SBS14",-6.29170118433073,"SBS14"
"SBS15",-4.84785511773852,"SBS15"
"SBS20",-12.2307528058008,"SBS20"
"SBS40",0.482931476663292,"SBS40"
"SBS44",-4.37468653383201,"SBS44"
"TP53_SNV",-1.09372261074915,"TP53_SNV"
"PTEN_SNV",-0.528582733110436,"PTEN_SNV"
"CDKN2A_SNV",0.000697767604804667,"CDKN2A_SNV"
"SLITRK6_SNV",-0.494386826700824,"SLITRK6_SNV"
"ZIC4_SNV",-0.283451099093233,"ZIC4_SNV"
"PYHIN1_SNV",-0.00499358997312931,"PYHIN1_SNV"
"KIR3DL2_SNV",0.482108368165349,"KIR3DL2_SNV"
"GTF2I_SNV",-0.0690366616390103,"GTF2I_SNV"
"PPP2R1A_SNV",0.0733444466089718,"PPP2R1A_SNV"
"RPL22_CNV.Amplification",-0.217028078331254,"RPL22_CNV.Amplification"
"RPL22_CNV.Deletion",-0.0319597671549753,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.375807150844674,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.0986019742976498,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.0265542150243949,"ARHGEF10L_CNV.Amplification"
"PAX7_CNV.Deletion",-0.405677391690058,"PAX7_CNV.Deletion"
"SFPQ_CNV.Deletion",0.214585861663159,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.0189333212537044,"THRAP3_CNV.Deletion"
"CSF3R_CNV.Amplification",-0.177848665851089,"CSF3R_CNV.Amplification"
"MPL_CNV.Amplification",0.397306253359493,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.319799156140007,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.214575204922684,"MUTYH_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.321403307057133,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.119886401417179,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.385066200026159,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.526158305545869,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-5.38834783810036e-14,"PDE4DIP_CNV.Deletion"
"ARNT_CNV.Amplification",-0.0789754332924663,"ARNT_CNV.Amplification"
"MLLT11_CNV.Deletion",0.537838261595442,"MLLT11_CNV.Deletion"
"TPM3_CNV.Deletion",-1.53670591735396,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.0152000974344903,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.289818806803323,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.366854555444351,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",1.49507506229519,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Amplification",-0.158506341879654,"FCRL4_CNV.Amplification"
"FCRL4_CNV.Deletion",-0.595793151846042,"FCRL4_CNV.Deletion"
