"","X1","variable"
"(Intercept)",3.03808093079023,"(Intercept)"
"CancerType.ACC",19.5668606858525,"CancerType.ACC"
"CancerType.BLCA",-4.87387476076626,"CancerType.BLCA"
"CancerType.BRCA",-2.02830625135868,"CancerType.BRCA"
"CancerType.CESC",-6.21406996679862,"CancerType.CESC"
"CancerType.CHOL",-3.50173495321984,"CancerType.CHOL"
"CancerType.COAD",-5.39812181136678,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.59960689141427,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.6299749439258,"CancerType.GBM"
"CancerType.KIRC",3.02387270287481,"CancerType.KIRC"
"CancerType.KIRP",6.37150368217619,"CancerType.KIRP"
"CancerType.LGG",5.12282163053613,"CancerType.LGG"
"CancerType.LIHC",3.78658795978549,"CancerType.LIHC"
"CancerType.LUSC",-0.538573375285695,"CancerType.LUSC"
"CancerType.OV",3.91274299028462,"CancerType.OV"
"CancerType.READ",-6.63197976879479,"CancerType.READ"
"CancerType.SARC",4.16737646480888,"CancerType.SARC"
"CancerType.SKCM",-0.271924803030709,"CancerType.SKCM"
"CancerType.STAD",-1.75942607795789,"CancerType.STAD"
"CancerType.UCEC",0.244343215130585,"CancerType.UCEC"
"CancerType.UCS",-6.46128547025441,"CancerType.UCS"
"log_Mutation_rate",-0.727939852224959,"log_Mutation_rate"
"SBS1",-0.633550423263112,"SBS1"
"SBS2",2.48980747117538,"SBS2"
"SBS3",0.417052688912502,"SBS3"
"SBS4",1.03858009931858,"SBS4"
"SBS6",-5.87902625176909,"SBS6"
"SBS8",-3.62118832747545,"SBS8"
"SBS10a",-2.73364154466658,"SBS10a"
"SBS14",-13.3440165669507,"SBS14"
"SBS15",-4.44927015708542,"SBS15"
"SBS20",-13.3985476308743,"SBS20"
"SBS39",-0.870949458647107,"SBS39"
"SBS40",0.309820970466505,"SBS40"
"SBS44",-4.04322348451065,"SBS44"
"TP53_SNV",-1.14568795110872,"TP53_SNV"
"PTEN_SNV",-0.539494787393933,"PTEN_SNV"
"FAT3_SNV",0.0147231799892127,"FAT3_SNV"
"ZIC4_SNV",-0.436783698418141,"ZIC4_SNV"
"KIR3DL2_SNV",0.287448476810911,"KIR3DL2_SNV"
"CASP8_SNV",0.00110974060184696,"CASP8_SNV"
"DEFB119_SNV",0.060267966396602,"DEFB119_SNV"
"GTF2I_SNV",-0.984863067322663,"GTF2I_SNV"
"FGFR2_SNV",0.0251144822050801,"FGFR2_SNV"
"PPP2R1A_SNV",0.132957200850455,"PPP2R1A_SNV"
"RPL22_CNV.Deletion",-0.210428336538641,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.256824212264698,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.532356774556161,"SDHB_CNV.Amplification"
