"","X1","variable"
"(Intercept)",3.11138425127101,"(Intercept)"
"CancerType.ACC",19.6271532069227,"CancerType.ACC"
"CancerType.BLCA",-4.89722441364336,"CancerType.BLCA"
"CancerType.BRCA",-2.2620877697713,"CancerType.BRCA"
"CancerType.CESC",-6.28600495636646,"CancerType.CESC"
"CancerType.CHOL",-4.37992490360666,"CancerType.CHOL"
"CancerType.COAD",-5.48624660667496,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.36331637325532,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",11.8699041436519,"CancerType.GBM"
"CancerType.KIRC",2.79131752563115,"CancerType.KIRC"
"CancerType.KIRP",6.14458038842049,"CancerType.KIRP"
"CancerType.LGG",4.98570176333935,"CancerType.LGG"
"CancerType.LIHC",3.51414453670044,"CancerType.LIHC"
"CancerType.LUSC",-0.67738779777792,"CancerType.LUSC"
"CancerType.OV",3.42944662029156,"CancerType.OV"
"CancerType.PRAD",0.0470418650017332,"CancerType.PRAD"
"CancerType.READ",-6.56145703864309,"CancerType.READ"
"CancerType.SARC",4.37568775658141,"CancerType.SARC"
"CancerType.SKCM",-0.344537126120781,"CancerType.SKCM"
"CancerType.STAD",-2.02382430837827,"CancerType.STAD"
"CancerType.UCS",-6.48701503523741,"CancerType.UCS"
"log_Mutation_rate",-0.715278817192143,"log_Mutation_rate"
"SBS1",-0.472843381727635,"SBS1"
"SBS2",2.29268741082948,"SBS2"
"SBS3",1.71669885321037,"SBS3"
"SBS4",0.932048831488483,"SBS4"
"SBS5",0.127106094658259,"SBS5"
"SBS6",-3.41320281510002,"SBS6"
"SBS8",-9.79400096963341,"SBS8"
"SBS10a",-3.32685693538218,"SBS10a"
"SBS14",-8.87689630226432,"SBS14"
"SBS15",-7.10640702103079,"SBS15"
"SBS20",-6.43478878764423,"SBS20"
"SBS40",0.550110270941821,"SBS40"
"SBS44",-4.51719160329525,"SBS44"
"TP53_SNV",-1.13083838671504,"TP53_SNV"
"PTEN_SNV",-0.63670159405879,"PTEN_SNV"
"SLITRK6_SNV",-0.300104295084642,"SLITRK6_SNV"
"ZIC4_SNV",-0.291156527901479,"ZIC4_SNV"
"PYHIN1_SNV",-0.00216728656033601,"PYHIN1_SNV"
"KIR3DL2_SNV",0.323648345607005,"KIR3DL2_SNV"
"GTF2I_SNV",-0.0562854635082499,"GTF2I_SNV"
"FGFR2_SNV",0.0992132618636222,"FGFR2_SNV"
"RPL22_CNV.Amplification",0.0295629826062813,"RPL22_CNV.Amplification"
"RPL22_CNV.Deletion",-0.141990117192208,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.456066781419693,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.888842446942764,"SDHB_CNV.Amplification"
"ARHGEF10L_CNV.Amplification",0.214593886776966,"ARHGEF10L_CNV.Amplification"
"ARHGEF10L_CNV.Deletion",-0.0640866651644941,"ARHGEF10L_CNV.Deletion"
"PAX7_CNV.Deletion",-0.0561195037284111,"PAX7_CNV.Deletion"
"SFPQ_CNV.Deletion",0.470757499046756,"SFPQ_CNV.Deletion"
"MPL_CNV.Amplification",0.203620652348993,"MPL_CNV.Amplification"
"MUTYH_CNV.Amplification",-0.101111897358155,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.125001080230134,"MUTYH_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.0678773824034811,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Amplification",0.127069692077564,"ATP1A1_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.289443020618302,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.523487844222828,"TENT5C_CNV.Amplification"
